Objects
100
,,Global Angle belly:belly,,,,,,Global Angle left_chest:left_chest,,,,,,Global Angle right_chest:right_chest,,,,,,Global Angle right_hand:right_hand,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm
1,0,-0.447337,-0.104805,0.040770,62.840885,89.159050,950.371582,0.131756,-0.040135,-0.083563,-60.047432,50.917038,1207.817993,,,,,,,-0.490017,-0.237914,1.818656,161.519562,434.302124,1561.442993
2,0,-0.446761,-0.105991,0.042734,62.538654,89.135231,950.341187,0.131224,-0.041754,-0.084151,-60.194912,50.986450,1207.760742,,,,,,,-0.483662,-0.213138,1.807688,171.049210,436.089508,1559.463867
3,0,-0.446665,-0.107826,0.045408,62.221474,89.101585,950.325989,0.129554,-0.043514,-0.083966,-60.335083,51.029461,1207.683105,,,,,,,-0.473369,-0.206488,1.793870,181.102127,438.215393,1557.180664
4,0,-0.446858,-0.106914,0.045801,61.866982,89.067482,950.292053,0.128319,-0.044832,-0.084522,-60.502644,51.068027,1207.597534,0.404243,-0.227521,0.125974,154.357956,73.800934,1219.367065,-0.459417,-0.185778,1.778566,191.506912,440.288971,1553.902466
5,0,-0.445847,-0.105224,0.046062,61.501858,89.092957,950.295654,0.128300,-0.044907,-0.084761,-60.669304,51.087021,1207.487549,0.410431,-0.232508,0.130007,154.197388,73.943703,1219.345337,-0.454470,-0.190751,1.760288,202.389526,442.805603,1550.380249
6,0,-0.444912,-0.104752,0.046860,61.173985,89.142494,950.294617,0.118355,-0.056566,-0.090048,-60.456760,51.052368,1206.948486,0.408418,-0.228372,0.126656,153.975632,73.993736,1219.114502,-0.447303,-0.155075,1.748461,213.550720,444.987061,1545.494019
7,0,-0.444284,-0.104251,0.044588,60.834362,89.159721,950.283630,0.117941,-0.056632,-0.091715,-60.687412,51.050125,1206.819214,0.406854,-0.227795,0.127260,153.765076,73.872421,1218.688599,-0.439232,-0.153912,1.726356,224.670288,447.496490,1540.302124
8,0,-0.444489,-0.103262,0.042318,60.484547,89.136589,950.253235,0.115546,-0.043843,-0.097237,-60.762703,51.031044,1206.444458,0.398736,-0.222647,0.124741,153.487213,73.923035,1218.422729,-0.437303,-0.117691,1.712303,235.977814,449.977142,1533.997314
9,0,-0.445463,-0.103251,0.042778,60.137207,89.102516,950.192505,0.114096,-0.044267,-0.097178,-61.065907,51.041046,1206.333618,0.405392,-0.225011,0.127670,153.247498,73.847092,1218.027222,-0.437704,-0.091842,1.694636,247.130966,452.534546,1526.670288
10,0,-0.446698,-0.103110,0.045210,59.753746,89.068169,950.134766,0.119896,-0.034097,-0.093863,-61.688313,51.105259,1206.586670,1.559766,-0.263239,-2.307519,135.660629,70.555077,1204.497559,-0.439361,-0.070814,1.667601,258.262329,454.609863,1518.672363
11,0,-0.454236,-0.109499,0.045574,59.583454,88.645645,949.749817,0.112521,-0.042796,-0.096565,-61.630001,51.066124,1206.190552,1.584105,-0.287708,-2.295292,135.205612,71.523872,1204.563721,-0.434220,-0.013254,1.652595,268.906525,456.668365,1509.201538
12,0,-0.450591,-0.106681,0.051200,59.079941,88.984055,950.010986,0.112189,-0.042085,-0.097597,-61.896427,51.065613,1206.123291,1.586902,-0.287004,-2.294397,134.951096,71.711708,1204.518555,-0.441170,0.004511,1.634174,279.734436,458.996338,1499.500122
13,0,-0.448924,-0.104875,0.052383,58.759583,88.975853,949.964966,0.112837,-0.040306,-0.100211,-62.179108,51.053905,1206.005737,-0.285796,0.219240,0.130077,147.745499,64.449646,1212.733032,-0.447354,0.044172,1.616693,290.355133,461.030823,1488.833618
14,0,-0.448269,-0.104277,0.053388,58.495266,88.966843,949.925476,0.112798,-0.038237,-0.103122,-62.487633,51.048767,1205.901367,-0.287013,0.224137,0.126083,147.465134,64.620277,1212.518433,-0.460936,0.068752,1.586006,301.245880,462.697388,1477.429932
15,0,-0.447314,-0.104654,0.054116,58.271206,88.957649,949.899597,0.113083,-0.037261,-0.104376,-62.785992,51.044292,1205.765869,-0.290806,0.226639,0.125321,147.196869,64.571564,1212.157959,-0.475115,0.083336,1.576288,310.862610,464.531342,1465.309814
16,0,-0.446739,-0.104955,0.053264,58.068512,88.952545,949.896851,0.112628,-0.036932,-0.103855,-63.130653,51.061005,1205.633301,-0.268075,0.228672,0.128796,146.796082,64.704529,1212.139526,-0.489839,0.124456,1.554022,320.858093,465.528931,1452.459229
17,0,-0.447119,-0.105157,0.054629,57.865952,88.922188,949.880188,0.111148,-0.037258,-0.103163,-63.452511,51.080173,1205.503052,-0.280045,0.237852,0.112576,146.458542,64.467247,1211.287720,-0.504039,0.131976,1.542951,330.354126,467.310608,1439.427246
18,0,-0.447679,-0.105318,0.053410,57.712902,88.861351,949.808960,0.109939,-0.037239,-0.100947,-63.742176,51.105255,1205.412598,-0.281999,0.236279,0.124511,146.232178,64.511978,1210.873657,-0.519890,0.163910,1.526354,339.479797,467.921509,1425.506714
19,0,-0.446623,-0.105798,0.060296,57.501144,88.837654,949.882935,0.109284,-0.037089,-0.099680,-63.984638,51.138817,1205.318970,-0.291030,0.232709,0.127298,145.911316,64.773849,1210.654297,-0.555150,0.173433,1.510418,348.100067,468.756317,1411.303223
20,0,-0.449651,-0.100424,0.064906,57.506912,88.715775,949.679688,0.109855,-0.037732,-0.097224,-64.232277,51.201500,1205.216431,-0.305970,0.236443,0.133683,146.106506,64.139145,1209.825928,-0.538067,0.231389,1.485705,355.564331,468.729187,1395.826660
21,0,-0.446896,-0.114584,0.069739,57.093769,88.959732,950.040405,0.110970,-0.036345,-0.096039,-64.458214,51.298950,1205.095337,-0.349600,0.226340,0.135742,147.339142,61.561142,1207.183838,-0.557300,0.257473,1.474543,362.871063,468.689850,1380.331421
22,0,-0.451513,-0.117496,0.073256,57.043945,88.749840,949.896484,0.108980,-0.036969,-0.094455,-64.711754,51.438728,1204.949219,-0.312946,0.225455,0.140135,147.241974,61.915794,1206.603271,-0.568871,0.312393,1.450656,368.315765,467.600647,1364.322754
23,0,-0.447820,-0.114832,0.071286,56.879654,88.937309,949.956238,0.106987,-0.037375,-0.095269,-64.933731,51.585938,1204.803467,-0.323504,0.221105,0.144123,147.137222,61.706947,1206.015991,-0.585575,0.343884,1.438405,373.179535,466.976624,1348.020996
24,0,-0.448637,-0.115369,0.072150,56.790272,88.968628,949.892456,0.105850,-0.037170,-0.096404,-65.074059,51.720688,1204.671509,-0.331857,0.220039,0.143881,146.987930,61.607525,1205.633423,-0.618540,0.363914,1.420502,377.157623,466.298798,1331.460327
25,0,-0.449223,-0.115662,0.073549,56.711769,89.023369,949.830444,0.106220,-0.036722,-0.096490,-65.166954,51.881733,1204.557983,-0.341711,0.207181,0.153812,146.668488,61.948498,1205.486084,-0.654599,0.375101,1.399837,379.704132,464.853119,1315.347534
26,0,-0.449387,-0.114636,0.074792,56.645180,89.125275,949.768372,0.105253,-0.036711,-0.096279,-65.185646,52.037384,1204.453003,-0.333995,0.215979,0.149515,146.739594,61.882538,1205.119629,-0.709128,0.375887,1.393012,381.822723,464.115143,1299.023560
27,0,-0.450699,-0.114369,0.076996,56.596294,89.244125,949.726501,0.103355,-0.036724,-0.096928,-65.157913,52.207489,1204.342041,-0.329724,0.223154,0.146543,146.846695,61.822014,1204.779419,-0.736885,0.394572,1.381418,382.298798,462.344482,1282.357666
28,0,-0.456411,-0.111384,0.059527,56.323505,89.857216,950.078735,0.102575,-0.035919,-0.097035,-65.100777,52.403816,1204.231323,-0.327418,0.227686,0.143958,146.883652,61.743805,1204.408081,-0.777643,0.439839,1.380179,381.855560,460.946136,1265.679443
29,0,-0.455612,-0.112035,0.070921,56.658775,89.492928,949.552002,0.102549,-0.035340,-0.096584,-65.003685,52.618755,1204.117432,-0.324495,0.230840,0.142459,146.759506,61.534790,1203.819336,-0.813489,0.450234,1.377714,380.004578,458.958862,1248.968262
30,0,-0.456881,-0.112042,0.074363,56.751099,89.502525,949.386780,0.103644,-0.035327,-0.096236,-64.886086,52.825943,1204.017700,-0.326452,0.231956,0.141286,146.884003,61.505150,1203.528809,-0.839481,0.493022,1.380805,376.709442,456.990387,1232.590332
31,0,-0.457205,-0.111408,0.073332,56.814560,89.605278,949.347412,0.103896,-0.035525,-0.095930,-64.704666,53.052185,1203.902588,-0.330584,0.235687,0.139775,147.046509,61.481506,1203.124878,-0.872817,0.518740,1.400953,372.432281,454.969330,1216.632813
32,0,-0.457288,-0.111231,0.072686,56.910259,89.676888,949.320557,0.103370,-0.035865,-0.097338,-64.531578,53.270897,1203.789673,-0.330451,0.235150,0.137636,147.219620,61.395733,1202.866943,-0.891734,0.508264,1.399758,367.045441,452.837616,1200.914429
33,0,-0.458306,-0.117950,0.082761,56.918076,89.886139,949.449463,0.103102,-0.036383,-0.099584,-64.364189,53.460495,1203.663940,-0.329890,0.240150,0.134318,147.330521,61.230816,1202.334351,-0.906669,0.529345,1.402317,360.910706,450.737793,1186.354858
34,0,-0.456604,-0.112013,0.073740,57.135593,89.796059,949.363403,0.102562,-0.035087,-0.101950,-64.177071,53.638916,1203.540161,-0.326403,0.241894,0.131702,147.521240,61.040413,1201.953125,-0.926830,0.565950,1.416479,353.079651,448.657990,1171.987793
35,0,-0.454878,-0.109386,0.070297,57.329292,89.744499,949.325439,0.102663,-0.033988,-0.103351,-63.994118,53.788513,1203.403076,-0.335818,0.235749,0.134580,147.984894,61.283665,1202.068481,-0.965334,0.593675,1.436470,344.407043,446.317841,1158.296143
36,0,-0.454433,-0.109416,0.068966,57.527470,89.688515,949.334778,0.101849,-0.032686,-0.105599,-63.808933,53.902309,1203.258179,-0.334871,0.219517,0.147799,147.872513,60.843300,1201.245605,-0.991244,0.611442,1.461372,334.631195,444.096863,1145.557861
37,0,-0.453651,-0.110674,0.069526,57.703178,89.672661,949.392639,0.100476,-0.029517,-0.107182,-63.638599,53.997505,1203.111694,-0.337839,0.223261,0.145835,148.067245,60.813202,1200.855591,-1.009385,0.616685,1.482361,324.043945,441.913544,1133.639526
38,0,-0.454081,-0.113997,0.074236,57.833729,89.708382,949.508179,0.099898,-0.027103,-0.108648,-63.515865,54.063873,1202.959961,-0.342807,0.230315,0.140337,148.248795,60.776783,1200.492554,-1.020930,0.630470,1.502789,312.330933,439.747253,1122.350952
39,0,-0.453392,-0.118065,0.078059,57.913303,89.790161,949.710327,0.099215,-0.025159,-0.110151,-63.429050,54.098232,1202.835327,-0.337530,0.226397,0.146140,148.274200,60.553513,1200.126587,-1.040563,0.628425,1.524544,299.618164,437.849335,1112.418457
40,0,-0.452576,-0.102376,0.061298,58.165977,89.658470,949.773132,0.098120,-0.023479,-0.111318,-63.391121,54.113136,1202.745361,-0.351175,0.245016,0.129713,148.698242,60.856789,1200.119385,-1.055010,0.551189,1.540197,285.926178,435.483093,1102.987915
41,0,-0.457523,-0.103845,0.064248,58.308071,89.598534,950.006042,0.097795,-0.022473,-0.111866,-63.375271,54.079735,1202.655762,-0.346007,0.244665,0.131623,148.752579,60.790066,1199.962158,-1.077472,0.631037,1.567288,272.082672,434.236603,1095.568970
42,0,-0.460752,-0.104734,0.055660,58.530704,89.400566,950.266113,0.096685,-0.021739,-0.111921,-63.390755,54.010914,1202.590332,-0.348704,0.243915,0.131731,148.722443,60.770256,1199.674194,-1.129870,0.616192,1.604546,257.015015,432.456726,1089.025635
43,0,-0.462995,-0.113329,0.064481,58.597069,89.490417,950.581604,0.096366,-0.021423,-0.110921,-63.412910,53.888676,1202.508179,-0.351712,0.243383,0.133060,148.555099,60.791821,1199.319458,-1.155536,0.623740,1.637457,241.740433,430.847076,1083.422852
44,0,-0.451263,-0.110374,0.038817,58.389179,89.988205,951.571228,0.096682,-0.021799,-0.108071,-63.453823,53.733700,1202.412476,-0.355201,0.236352,0.138307,148.133957,60.669762,1198.765137,-1.179099,0.620404,1.670025,225.920242,429.514587,1079.340332
45,0,-0.454365,-0.100885,0.005768,58.389568,90.488708,952.089722,0.096867,-0.022515,-0.104287,-63.498795,53.534702,1202.309326,-0.352656,0.244313,0.129976,148.406708,60.757740,1198.848022,-1.207805,0.613387,1.704418,209.739975,428.210815,1076.457275
46,0,-0.446838,-0.097967,0.024954,57.963047,91.278557,953.241211,0.095186,-0.022433,-0.103084,-63.572330,53.305801,1202.219971,-0.356017,0.244106,0.133306,148.244446,60.912075,1198.696533,-1.238021,0.601767,1.747723,193.026398,426.595642,1074.568237
47,0,-0.446480,-0.097413,0.024055,58.231403,91.162132,953.328674,0.094801,-0.021504,-0.103924,-63.687889,53.075794,1202.156738,-0.349538,0.246220,0.135556,148.005844,61.250488,1198.621460,-1.265980,0.566441,1.784095,176.452499,425.599915,1074.460327
48,0,-0.445354,-0.097650,0.025825,58.448280,91.076668,953.422302,0.095190,-0.020861,-0.103500,-63.828156,52.835297,1202.093994,-0.345293,0.251977,0.133941,147.739838,61.637924,1198.697754,-1.269671,0.550331,1.817617,159.652252,424.345917,1075.410156
49,0,-0.444866,-0.097461,0.025486,58.610100,90.987511,953.532776,0.095250,-0.019018,-0.100091,-63.993111,52.535603,1202.060425,-0.361365,0.237576,0.139191,147.586761,61.488884,1198.340942,-1.292347,0.573244,1.853962,142.952942,423.503021,1078.124756
50,0,-0.444734,-0.098042,0.027966,58.748642,90.860077,953.648804,0.093874,-0.017286,-0.097457,-64.173706,52.169609,1202.018311,-0.370068,0.226030,0.138033,147.179062,61.910027,1198.650513,-1.290148,0.543990,1.889302,126.257790,422.299377,1081.705688
51,0,-0.439974,-0.103552,0.036483,59.042294,90.521599,953.479492,0.092248,-0.015765,-0.094561,-64.384308,51.766205,1202.008789,-0.376814,0.215836,0.145414,146.702118,62.446339,1198.883301,-1.278442,0.528406,1.925361,109.673683,420.988007,1086.539063
52,0,-0.436842,-0.106485,0.037054,59.135380,90.359756,953.496338,0.093707,-0.016188,-0.086410,-64.630356,51.356457,1202.028809,-0.369004,0.231273,0.140592,146.764862,62.021725,1198.476196,-1.248936,0.486365,1.970050,93.349281,419.660370,1092.700684
53,0,-0.437252,-0.106191,0.054816,59.712940,89.712967,952.968445,0.095060,-0.014542,-0.080865,-64.927307,50.982956,1202.091797,-0.391316,0.240872,0.133052,146.390396,62.233608,1198.802124,-1.243123,0.462254,2.010388,77.411148,418.430450,1100.137085
54,0,-0.441663,-0.104758,0.026303,62.311478,87.823479,949.550659,0.093404,-0.027544,-0.075399,-65.446915,50.648140,1202.405029,-0.396414,0.233282,0.138199,145.896149,62.646576,1199.042847,-1.237428,0.437947,2.048337,61.878178,417.115753,1108.706299
55,0,-0.443376,-0.097193,0.024582,62.488232,87.638466,949.389343,0.092209,-0.016449,-0.078217,-65.566078,50.259182,1202.294312,-0.387443,0.238902,0.134153,145.367493,63.223415,1199.697388,-1.227515,0.407803,2.087637,46.885471,415.752472,1118.368530
56,0,-0.438352,-0.106791,0.019607,62.179401,87.657829,949.675415,0.094822,-0.015982,-0.073261,-65.848122,49.867138,1202.393555,-0.400439,0.231934,0.145974,144.694366,63.485249,1200.122803,-1.207464,0.375492,2.123771,32.451103,414.342926,1129.070068
57,0,-0.444046,-0.107576,0.001080,62.332890,87.545647,949.388550,0.095686,-0.017537,-0.066896,-66.171310,49.461494,1202.542725,-0.359017,0.222900,0.157650,143.400742,65.289223,1201.814209,-1.188276,0.347189,2.160711,18.716917,412.872284,1140.577393
58,0,-0.444174,-0.095819,0.012007,61.117168,87.384758,950.376770,0.096731,-0.016284,-0.062115,-66.544266,49.075226,1202.729248,-0.352709,0.254845,0.144482,142.268799,67.932144,1203.522827,-1.183836,0.343215,2.199702,5.651932,411.484528,1153.105713
59,0,-0.443473,-0.095753,0.013304,60.929447,87.347740,950.375671,0.097320,-0.015759,-0.055345,-66.823410,48.700943,1202.848633,-0.376279,0.267933,0.133967,141.606567,68.560783,1204.185547,-1.157128,0.285570,2.230834,-6.492498,409.902588,1165.892578
60,0,-0.438435,-0.099655,0.034656,60.529739,87.316727,950.538269,0.100765,-0.028991,-0.046630,-67.341324,48.367920,1203.307739,-0.363958,0.247437,0.156822,142.120743,67.613892,1203.263184,-1.133578,0.288130,2.265466,-17.916443,408.642548,1179.677856
