x,y,z,p1_x,p1_y,p1_z,p2_x,p2_y,p2_z,p3_x,p3_y,p3_z
-149.304565,476.498749,1537.10498,-53.955505,257.769348,1130.44458,12.79549,187.063126,1395.264771,-170.150208,172.450684,1365.465576
-153.719757,472.777405,1522.596436,-53.626015,257.88623,1130.319946,13.046638,187.357315,1395.188354,-170.081451,172.50705,1364.896606
-157.572006,469.459106,1507.529175,-53.263592,258.171722,1130.900513,13.395455,187.29277,1395.091431,-169.108414,172.437042,1363.92981
-160.900299,466.173706,1492.197388,-53.06184,258.301605,1130.917603,13.399638,187.338425,1395.000244,-169.43306,172.653091,1363.996094
-163.763367,463.448364,1476.985962,-52.908573,258.444702,1130.952026,13.481548,188.017044,1395.00415,-169.578964,172.945328,1363.872803
-166.29921,461.152161,1461.855591,-52.774586,258.657684,1130.968384,13.394874,187.81134,1395.02356,-170.349472,173.234467,1364.723755
-167.230728,459.433777,1446.709473,-52.553547,258.915863,1130.806519,13.523747,187.661407,1394.69812,-170.40509,173.310333,1364.651978
-167.542267,457.988922,1431.757568,-52.845699,258.813538,1131.171143,13.364555,187.879074,1394.697388,-170.520935,173.338821,1364.550049
-167.091125,457.147491,1417.304565,-52.885708,258.945129,1131.158203,13.131734,187.807709,1394.210083,-170.68808,173.348557,1364.415405
-165.781601,456.692566,1402.989014,-52.959885,259.10379,1131.14502,12.845934,187.809006,1394.097778,-170.974991,173.332642,1364.313721
-163.636017,456.669037,1388.897949,-53.09137,259.271423,1131.131714,12.567739,187.884109,1394.072144,-171.211655,173.302826,1364.010986
-160.597565,457.254974,1375.390381,-53.201618,259.481018,1131.082764,12.17262,187.783447,1393.547363,-171.613983,173.121994,1363.861206
-156.193604,458.07254,1362.491211,-53.27338,259.770752,1130.964111,11.551619,188.154572,1393.682495,-171.947433,173.098663,1363.56311
-150.954651,459.744232,1349.77417,-53.982956,259.661957,1131.137817,11.003396,188.07814,1393.097412,-172.385254,172.96814,1363.367676
-145.180298,462.059937,1337.948608,-54.396576,259.733978,1131.04248,10.791717,188.432144,1392.944946,-172.914124,172.830032,1363.188354
-138.34668,464.749329,1326.365967,-54.781693,259.783264,1131.101685,10.520564,189.201706,1393.598633,-173.187485,172.248352,1363.023071
-130.41066,467.615326,1315.28186,-55.187778,259.788208,1130.664185,9.507702,189.505615,1393.272827,-174.027435,172.470337,1362.799805
-121.936722,471.326019,1305.278198,-55.494606,259.575806,1130.674316,9.122757,189.195358,1392.944824,-174.592514,172.307648,1362.496704
-112.505745,475.345764,1295.3479,-55.610645,259.371094,1130.275513,8.204759,190.086395,1393.67627,-175.181915,172.010727,1362.224121
-102.143524,479.812164,1286.105591,-55.816334,259.273743,1129.80835,7.415894,190.540054,1393.81604,-175.647415,171.922241,1361.765137
-91.00032,484.615875,1277.655396,-56.467518,259.209198,1130.223999,6.64773,190.977219,1393.478271,-176.831955,171.769913,1361.998657
-79.43647,489.666443,1270.214478,-57.243263,259.128204,1130.177002,5.532877,190.999435,1393.302002,-177.424347,171.581207,1361.932007
-66.226631,495.128357,1263.165771,-58.149105,259.343689,1130.290649,4.683321,191.465607,1392.942017,-178.327164,171.30777,1361.587158
-52.646172,500.702148,1257.074707,-59.787243,259.45813,1131.191772,3.99548,191.999878,1393.757324,-179.109222,171.173462,1361.633423
-39.172821,506.386505,1252.611572,-60.455948,259.372467,1130.80542,2.811134,192.046432,1393.37793,-179.78093,170.609192,1361.333862
-23.908682,512.034973,1248.045044,-61.708694,259.638092,1131.196045,1.795032,192.726181,1393.594604,-180.853836,170.549515,1361.061035
-8.034279,517.786621,1244.255249,-62.541119,259.358917,1131.155273,1.203609,192.8069,1393.487671,-181.577469,169.73735,1360.785767
8.884911,523.140442,1240.757446,-63.291042,259.129181,1130.772461,0.171639,193.039352,1393.481567,-182.514069,170.141418,1360.993896
25.155706,529.135193,1239.73645,-64.013359,258.872223,1130.274048,-0.758041,194.021362,1394.075317,-183.338089,169.805664,1360.785767
