Objects
100
,,Global Angle belly:belly,,,,,,Global Angle left_chest:left_chest,,,,,,Global Angle right_chest:right_chest,,,,,,Global Angle right_hand:right_hand,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm
1,0,-0.209645,-0.001674,0.111529,-11.785393,-483.568176,1136.825684,0.186076,-0.033534,-0.136590,-113.957207,-518.199890,1360.549194,-0.105002,0.146259,0.155745,104.942970,-507.676788,1367.027344,-0.580532,-0.058356,1.006640,531.954895,-81.208374,1631.619995
2,0,-0.207831,-0.001408,0.111229,-12.981129,-483.749756,1136.753540,0.184209,-0.029895,-0.137551,-114.742363,-517.978577,1360.545532,-0.121108,0.157041,0.143567,104.227570,-508.206421,1365.687378,,,,,,
3,0,-0.207477,-0.003243,0.107741,-14.104858,-483.960968,1136.675537,0.181757,-0.024282,-0.140000,-115.521767,-517.789856,1360.517822,-0.120546,0.165885,0.132603,103.099678,-508.633850,1364.270996,,,,,,
4,0,-0.206822,-0.006213,0.111394,-15.295239,-484.047577,1136.716064,0.178258,-0.024716,-0.143126,-116.216896,-517.636414,1360.477173,-0.121819,0.169348,0.144435,103.009438,-508.492645,1363.632690,-0.665680,0.035793,0.986267,555.200806,-82.445183,1555.083130
5,0,-0.205980,-0.003541,0.107596,-16.389990,-484.137238,1136.803223,0.177131,-0.024258,-0.143614,-116.763420,-517.510071,1360.434082,-0.115034,0.174057,0.141654,102.432976,-508.646973,1362.683105,,,,,,
6,0,-0.204585,-0.007322,0.111667,-17.279125,-484.283813,1136.809326,0.174853,-0.021564,-0.145717,-117.303062,-517.399841,1360.416870,-0.086156,0.184847,0.110385,101.373238,-509.529663,1361.158203,,,,,,
7,0,-0.203892,-0.007832,0.108046,-18.153269,-484.384399,1136.824829,0.172840,-0.017962,-0.149044,-117.866318,-517.266174,1360.417969,-0.117252,0.181520,0.135366,101.296959,-509.100311,1361.005493,-0.737502,0.172609,0.988689,567.858826,-87.223465,1473.075317
8,0,-0.202617,-0.007496,0.104047,-18.981720,-484.371399,1136.884521,0.171315,-0.014634,-0.151168,-118.446358,-517.144470,1360.391846,-0.120368,0.187828,0.133907,100.708916,-509.403534,1360.231445,,,,,,
9,0,-0.199298,-0.005951,0.100465,-19.689995,-484.402924,1136.843262,0.170544,-0.012340,-0.153698,-118.947411,-517.098389,1360.305786,-0.090665,0.209000,0.081768,99.501625,-510.522949,1358.736694,,,,,,
10,0,-0.199546,-0.007080,0.100114,-20.252365,-484.359894,1136.840698,0.170916,-0.012916,-0.154902,-119.356316,-517.061829,1360.219971,-0.096003,0.202345,0.104338,99.439117,-510.361023,1358.436523,-0.845581,0.304007,1.015989,568.354248,-93.804840,1389.336548
11,0,-0.197923,-0.008934,0.102590,-20.704187,-484.338379,1136.831177,0.170891,-0.014193,-0.156311,-119.646812,-517.038635,1360.131226,-0.095856,0.203485,0.105143,99.115341,-510.545959,1357.816040,-0.849954,0.357334,1.031800,565.857483,-97.098297,1360.905884
12,0,-0.197657,-0.009720,0.101373,-21.108240,-484.356049,1136.812500,0.171193,-0.016668,-0.156300,-119.894867,-517.084045,1360.024414,-0.122956,0.193914,0.137936,99.344551,-510.037415,1357.870239,-0.879455,0.352913,1.023924,561.961914,-100.778366,1332.812378
13,0,-0.196846,-0.010747,0.100380,-21.463293,-484.365417,1136.851196,0.171593,-0.016133,-0.155930,-120.136307,-517.193481,1359.902832,-0.106089,0.207940,0.111059,98.761627,-510.688354,1356.802490,-0.921212,0.426387,1.046665,557.319946,-104.601990,1304.893188
14,0,-0.196273,-0.010530,0.100658,-21.727030,-484.385529,1136.916138,0.171474,-0.013577,-0.154983,-120.363708,-517.329956,1359.778442,-0.094205,0.208095,0.101706,98.253960,-511.242340,1355.926636,-0.937058,0.463494,1.050320,550.965210,-108.805061,1277.647339
15,0,-0.195815,-0.010763,0.100495,-21.915459,-484.446381,1137.004150,0.172084,-0.009720,-0.154612,-120.597939,-517.523987,1359.630859,-0.091454,0.210183,0.098838,97.949059,-511.506195,1355.301025,-0.955330,0.496999,1.060280,543.218506,-113.013885,1250.975220
16,0,-0.194927,-0.010925,0.100400,-22.032331,-484.529999,1137.081787,0.171931,-0.007245,-0.153306,-120.825592,-517.753540,1359.462769,-0.089926,0.211947,0.098052,97.616776,-511.834625,1354.636353,-0.968257,0.509601,1.064043,533.939514,-117.332245,1225.083130
17,0,-0.194014,-0.010581,0.098132,-22.076084,-484.646423,1137.169189,0.172830,-0.005260,-0.151874,-121.041664,-518.027039,1359.306519,-0.109159,0.199657,0.133920,97.878479,-511.326843,1354.684204,-1.005395,0.535575,1.086489,523.578308,-121.093140,1200.582275
18,0,-0.192698,-0.010487,0.096598,-22.053144,-484.761902,1137.284302,0.171943,-0.004187,-0.152073,-121.234978,-518.367432,1359.134033,-0.120826,0.206317,0.132404,97.657356,-511.611298,1354.100830,-1.025849,0.545266,1.091990,511.711548,-125.383827,1176.445068
19,0,-0.190458,-0.011582,0.095181,-21.955797,-484.886322,1137.398804,0.173084,-0.002587,-0.154360,-121.400215,-518.733765,1358.992798,-0.095574,0.221008,0.096294,96.930626,-512.579407,1352.818359,-1.057124,0.576639,1.112241,499.258698,-129.282913,1153.778687
20,0,-0.189670,-0.012929,0.093148,-21.810827,-485.041962,1137.523804,0.172881,-0.002404,-0.155721,-121.573799,-519.184204,1358.848267,-0.101927,0.222824,0.099791,96.792496,-512.649963,1352.234497,-1.072007,0.587786,1.122808,485.713013,-133.549774,1131.911987
21,0,-0.188193,-0.013692,0.089820,-21.612635,-485.171509,1137.651123,0.173383,-0.001361,-0.152929,-121.694092,-519.754089,1358.695435,-0.112629,0.221983,0.109619,96.667839,-512.590454,1351.706177,-1.027434,0.586716,1.102107,471.917725,-136.723801,1112.743164
22,0,-0.186351,-0.014097,0.084712,-21.392612,-485.300201,1137.793945,0.185624,-0.013812,-0.127416,-121.512077,-520.425964,1358.244629,-0.122137,0.217135,0.120781,96.490746,-512.504089,1351.196289,-1.134680,0.697079,1.183958,455.094116,-141.122513,1091.582397
23,0,-0.183022,-0.014137,0.080683,-21.129103,-485.456390,1137.912476,0.186438,-0.011447,-0.127179,-121.648285,-520.992004,1358.123169,-0.129162,0.211069,0.128724,96.226486,-512.510986,1350.711792,-1.151264,0.743641,1.211175,438.416168,-144.465988,1073.617920
24,0,-0.181867,-0.014535,0.077999,-20.823248,-485.665436,1138.040649,0.185056,-0.009471,-0.127343,-121.803375,-521.643677,1357.986938,-0.152579,0.195296,0.156907,96.392120,-511.961639,1350.884644,-1.174066,0.723687,1.235320,420.841919,-147.582352,1056.712402
25,0,-0.180281,-0.015679,0.077643,-20.467991,-485.908936,1138.194580,0.186221,-0.007153,-0.122739,-121.912796,-522.394897,1357.817749,-0.138467,0.218790,0.143643,96.360687,-512.457458,1349.973755,-1.205755,0.757599,1.260962,402.745850,-149.916183,1041.527832
26,0,-0.178619,-0.018434,0.076745,-20.086723,-486.130554,1138.386841,0.188978,-0.005455,-0.118789,-122.004616,-523.100220,1357.699341,-0.140526,0.219820,0.142929,96.215103,-512.524597,1349.568726,-1.186563,0.785628,1.293150,383.673767,-152.485107,1027.005371
27,0,-0.174531,-0.019553,0.078160,-19.655815,-486.452118,1138.535034,0.187694,-0.005186,-0.116765,-122.025452,-523.894348,1357.564697,-0.143257,0.222172,0.144598,96.066635,-512.561829,1349.081177,-1.214398,0.787701,1.327380,363.763916,-153.483322,1015.376465
28,0,-0.170088,-0.018912,0.074581,-19.184265,-486.757813,1138.718872,0.188560,-0.004753,-0.114057,-122.010727,-524.783386,1357.406250,-0.144166,0.226823,0.145651,95.898338,-512.628723,1348.508301,-1.236594,0.796527,1.359427,343.453369,-154.235580,1005.012268
29,0,-0.167139,-0.019326,0.071675,-18.643759,-487.114502,1138.906982,0.189598,-0.002425,-0.113670,-121.999397,-525.637024,1357.240845,-0.147230,0.221503,0.144134,95.913765,-512.579590,1348.347656,-1.247906,0.809959,1.387637,322.729492,-154.653687,996.301025
30,0,-0.167866,-0.020303,0.072226,-18.064901,-487.494232,1139.135986,0.191711,-0.000929,-0.109839,-121.966537,-526.696655,1356.996826,-0.153395,0.224673,0.157541,95.663902,-512.261414,1347.814941,-1.250469,0.819833,1.417664,301.833527,-154.807510,988.997986
31,0,-0.166290,-0.019268,0.072232,-17.468729,-487.870850,1139.378540,0.191881,0.000634,-0.109206,-122.001297,-527.686340,1356.749023,-0.163240,0.223856,0.158119,95.644325,-511.972961,1347.657471,-1.253678,0.831493,1.450300,280.738098,-154.436172,983.333496
32,0,-0.163514,-0.019458,0.071624,-16.881973,-488.304749,1139.526978,0.190803,0.000157,-0.104580,-122.109352,-528.826477,1356.427002,-0.173700,0.223810,0.164047,95.335457,-511.605927,1347.386230,-1.251792,0.843618,1.481784,259.120758,-153.580963,979.078247
