Objects
100
,,Global Angle belly_mc:belly_mc,,,,,,Global Angle left_chest_mc:left_chest_mc,,,,,,Global Angle right_chest_mc:right_chest_mc,,,,,,Global Angle right_hand_mc:right_hand_mc,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm
1,0,0.051211,-0.008227,0.000147,-50.663223,273.945801,1125.053345,1.250433,0.113078,2.956962,-177.922440,195.373871,1366.865723,0.323760,-0.216779,0.238586,17.888157,207.498032,1391.585815,-0.466197,0.439033,0.461501,398.420349,547.667847,1294.137451
2,0,0.054817,-0.007895,-0.003436,-49.889984,274.005890,1125.307373,1.252574,0.109585,2.955765,-177.460846,195.486084,1366.865356,0.287528,-0.199459,0.236484,18.526117,207.765900,1391.755127,-0.514400,0.469403,0.469479,388.305084,547.893250,1278.944092
3,0,0.053742,-0.005798,-0.009070,-49.248596,273.959320,1125.324829,1.253563,0.106082,2.956952,-176.996490,195.586899,1366.860596,0.166204,-0.125510,0.126386,19.127165,207.223587,1391.414551,-0.553300,0.456682,0.486886,377.334717,548.220947,1264.355103
4,0,0.054647,-0.007333,-0.012143,-48.486942,273.886810,1125.512329,0.062199,-0.092562,0.072109,-166.045807,203.057098,1362.116699,0.104613,-0.093940,0.083287,19.566950,206.894257,1391.863647,-0.590746,0.453743,0.504498,365.557434,548.327087,1250.160156
5,0,0.060491,-0.008911,-0.014524,-47.663334,273.863525,1125.771729,0.060147,-0.084912,0.067362,-165.692566,203.097885,1362.397705,0.116682,-0.114145,0.094785,19.952288,206.367157,1391.973389,-0.615096,0.467347,0.522936,353.146271,548.603943,1236.771851
6,0,0.066263,-0.007539,-0.020702,-46.890400,273.762665,1125.975952,0.062561,-0.082473,0.065755,-165.176102,203.181839,1362.419189,0.128687,-0.102487,0.089204,20.732458,205.442688,1391.471558,-0.664638,0.488493,0.544980,339.486298,548.720520,1224.067627
7,0,0.071920,-0.008817,-0.024254,-45.902802,273.654205,1126.383667,0.064404,-0.080159,0.060996,-164.648270,203.247391,1362.445435,0.059358,-0.059211,0.027549,21.844452,204.915131,1391.012451,-0.722655,0.454425,0.573391,325.332794,548.783813,1212.034058
8,0,0.078225,-0.010551,-0.027554,-45.119038,273.543945,1126.474365,0.066166,-0.079562,0.058298,-164.107513,203.324081,1362.472534,0.021883,-0.033664,-0.008779,22.025457,204.128403,1391.093384,-0.708450,0.532161,0.588803,310.574158,548.976379,1201.576782
9,0,0.076207,-0.009520,-0.035220,-44.192554,273.420288,1126.838379,0.048849,-0.088016,0.039131,-163.270905,203.147690,1362.519531,0.108453,-0.089251,0.061994,22.371778,202.882065,1390.536987,-0.747142,0.495430,0.637458,295.253052,548.904724,1191.882813
10,0,0.078957,-0.010268,-0.042244,-43.293484,273.274475,1127.070923,0.083296,-0.082620,0.103447,-163.285736,203.863892,1362.717041,0.093553,-0.086115,0.045754,22.676144,202.291641,1390.548950,-0.741129,0.473171,0.672507,278.996918,548.740967,1183.704590
11,0,0.082548,-0.010394,-0.047621,-42.401955,273.162903,1127.313354,0.068635,-0.076936,0.049949,-162.594528,203.582596,1362.626709,0.126900,-0.093292,0.064118,23.441881,201.422607,1389.895630,-0.799710,0.491512,0.704733,262.077759,549.150757,1176.862427
12,0,0.076157,-0.005599,-0.054257,-41.834488,272.803375,1127.168213,0.048294,-0.084958,0.025054,-161.771225,203.293243,1362.633667,0.113259,-0.099426,0.052183,23.680077,200.621399,1389.959229,-0.798971,0.518220,0.728729,245.140778,549.803772,1171.951904
13,0,0.087724,-0.011658,-0.057505,-40.698200,272.742432,1127.703125,0.048863,-0.084269,0.015983,-161.328583,203.328293,1362.749268,0.124001,-0.101112,0.055557,24.147852,199.958801,1389.681274,-0.849066,0.504698,0.776296,226.980331,550.175354,1167.573364
14,0,0.093329,-0.012343,-0.062337,-39.790138,272.625580,1127.996948,0.047509,-0.080909,0.009648,-160.809708,203.435333,1362.783447,0.115645,-0.088747,0.039597,24.736647,199.173874,1389.401123,-0.834541,0.526021,0.805277,208.634613,550.160583,1164.150024
15,0,0.096665,-0.014014,-0.067596,-39.016640,272.429718,1128.165527,0.050534,-0.079520,0.008760,-160.355286,203.533493,1362.859497,0.023193,-0.025755,-0.040545,25.830824,198.923401,1389.402344,-0.863798,0.470151,0.865262,189.812119,550.031982,1161.984375
16,0,0.098160,-0.013978,-0.075046,-38.198921,272.259155,1128.358032,0.070113,-0.036882,-0.005217,-160.877396,204.470901,1363.765503,0.054651,-0.043987,-0.016410,25.964489,198.056732,1389.324829,-0.868586,0.506845,0.895943,170.777328,549.753662,1161.053223
