Objects
100
,,Global Angle belly:belly,,,,,,Global Angle belly_mc:belly_mc,,,,,,Global Angle left_chest:left_chest,,,,,,Global Angle left_chest_mc:left_chest_mc,,,,,,Global Angle right_chest:right_chest,,,,,,Global Angle right_chest_mc:right_chest_mc,,,,,,Global Angle right_hand:right_hand,,,,,,Global Angle right_hand_mc:right_hand_mc,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm
1,0,0.059169,-0.522035,0.042514,-1190.793823,-98.494377,1135.886475,-0.022169,0.007733,1.459993,382.836426,-189.411469,1127.927856,0.076705,-0.287203,-1.705665,-1219.508667,18.488518,1350.483154,-0.006510,-0.014243,1.499054,433.829529,-290.674805,1382.538452,0.026608,0.292783,-1.405660,-1209.266235,-202.473038,1352.339478,0.166348,0.108217,1.594529,448.451813,-101.609802,1392.771606,-0.082088,-0.161406,0.323559,-733.439758,-242.364090,1437.614502,0.104417,1.815265,2.951847,304.393890,0.076790,1456.540894
2,0,0.023613,-0.497261,0.041018,-1190.387817,-97.771797,1136.415894,-0.022198,0.007857,1.457695,383.051941,-189.227982,1128.014648,0.119259,-0.276586,-1.686890,-1220.539551,18.083588,1350.918091,-0.014593,-0.042134,1.504138,434.835693,-290.974304,1381.815918,0.061477,0.226537,-1.382060,-1209.205078,-201.747375,1352.902832,0.193146,0.115469,1.616108,449.149872,-101.449890,1393.067627,-0.074086,-0.130182,0.285853,-722.187012,-243.262177,1431.668945,0.091310,1.801319,2.953915,297.960541,-1.120393,1456.836548
3,0,0.006976,-0.472035,-0.012494,-1190.734863,-96.999847,1136.653931,-0.022134,0.008317,1.456135,383.286163,-189.017517,1128.116211,0.168013,-0.258214,-1.691609,-1221.359253,18.110712,1350.449829,-0.002012,-0.040973,1.512724,435.379425,-290.902130,1381.791138,0.049022,0.256409,-1.405151,-1209.723877,-201.403793,1352.538452,0.169142,0.115041,1.596596,449.430969,-102.269394,1393.485962,-0.065302,-0.056185,0.286770,-712.237061,-245.143005,1425.919922,0.088179,1.778686,2.955279,291.107361,-2.456712,1457.085205
4,0,-0.064911,0.097309,-1.564879,-1184.628296,-89.903152,1140.253540,-0.022035,0.009613,1.454053,383.501099,-188.790573,1128.257324,0.173256,-0.262747,-1.686072,-1221.771606,18.505856,1350.628296,0.021811,-0.012157,1.525435,434.835449,-290.498718,1382.561157,0.059804,0.252056,-1.406853,-1209.279785,-200.748734,1352.719971,0.150293,0.101649,1.583328,450.103790,-102.487534,1393.933105,-0.054950,-0.012530,0.261484,-704.251404,-246.606827,1419.775391,0.074726,1.760126,2.957938,284.061951,-3.887164,1457.285645
5,0,-0.078739,0.103173,-1.564192,-1184.829590,-89.804962,1140.593018,-0.021438,0.008072,1.452913,383.748322,-188.618225,1128.330566,0.164053,-0.263396,-1.678135,-1222.079590,18.970352,1350.748901,0.020958,-0.007283,1.532820,435.269226,-290.526611,1382.698975,0.060166,0.239832,-1.408265,-1208.789917,-200.118805,1352.807129,0.153577,0.104539,1.586043,450.455841,-102.800720,1394.032959,-0.048004,0.021732,0.237275,-697.734558,-247.871475,1413.870605,0.069438,1.732807,2.959963,276.708130,-5.253375,1457.693237
6,0,-0.064522,0.093364,-1.556279,-1185.190430,-89.528259,1140.226318,-0.014692,0.009836,1.456136,384.055359,-188.408356,1128.327393,0.170728,-0.239740,-1.713633,-1222.054321,19.445963,1350.724976,0.021720,-0.007864,1.531543,435.740936,-290.569855,1382.727295,0.064620,0.225844,-1.408250,-1208.223267,-199.408905,1353.101563,0.177308,0.109005,1.599940,450.843811,-102.846428,1394.212280,-0.037741,0.053913,0.224282,-692.515015,-249.184204,1408.404419,0.072928,1.699892,2.961947,269.106995,-6.914593,1458.089233
7,0,-0.060841,0.099201,-1.559705,-1185.333008,-88.982918,1140.438599,-0.025258,0.000287,1.453759,384.054321,-188.205399,1128.408325,0.095160,-0.271395,-1.686123,-1221.788452,20.541323,1351.992065,0.025308,-0.008345,1.523566,436.134705,-290.651337,1382.683228,0.079311,0.226061,-1.390915,-1208.279541,-199.311371,1352.816040,0.149743,0.091533,1.581397,451.415405,-103.230621,1394.522461,-0.028049,0.079677,0.213494,-688.626099,-250.247650,1403.514160,0.061543,1.670518,2.967199,261.209167,-8.593886,1458.616699
8,0,-0.061234,0.097223,-1.556039,-1185.248047,-88.768097,1140.503662,-0.015916,0.019641,1.446310,384.627045,-187.976349,1128.397217,0.096856,-0.265943,-1.689440,-1222.009277,20.863953,1352.213745,0.014498,-0.022436,1.535613,437.358063,-290.884735,1382.402710,0.067096,0.243431,-1.404260,-1207.821289,-198.741364,1352.858032,0.135602,0.081956,1.566230,452.069244,-103.491127,1394.785034,-0.020378,0.099266,0.205746,-686.044373,-250.923569,1399.443359,0.052038,1.634705,2.976099,252.912430,-10.332020,1459.184692
9,0,-0.061831,0.102317,-1.563390,-1185.424194,-88.482468,1140.495972,-0.018050,0.019317,1.441681,384.858215,-187.758774,1128.501221,0.105335,-0.278777,-1.695894,-1222.239014,21.088392,1351.667725,0.029935,-0.006439,1.532408,437.170380,-290.713562,1382.994263,0.047761,0.275038,-1.413354,-1207.612671,-198.295547,1352.506226,0.120353,0.081810,1.553013,452.813934,-103.731079,1394.929688,-0.019622,0.112838,0.201655,-684.486023,-251.148041,1396.466064,0.034461,1.603586,2.980947,244.238739,-12.166718,1459.658569
10,0,-0.064853,0.101562,-1.561076,-1185.422607,-88.221664,1140.544800,-0.015341,0.020328,1.438452,385.063721,-187.583954,1128.552368,0.096162,-0.287069,-1.703614,-1222.093750,21.642931,1352.164429,0.022346,-0.015808,1.513039,438.041992,-290.814850,1382.880981,0.043995,0.284555,-1.416537,-1207.724365,-197.872772,1352.606323,0.167017,0.069241,1.588816,453.125244,-103.799217,1395.302612,-0.020231,0.118929,0.200642,-683.970215,-250.856873,1394.576904,0.020523,1.575512,2.988085,235.098282,-14.008283,1460.070557
11,0,-0.067376,0.102221,-1.559541,-1185.371582,-87.982147,1140.582520,-0.014082,0.017430,1.441572,385.456421,-187.448364,1128.558350,0.114909,-0.273068,-1.711580,-1222.114502,21.486853,1352.106445,0.008121,-0.010883,1.495549,438.585754,-290.923187,1382.748901,0.045434,0.284847,-1.418559,-1207.676147,-197.650757,1352.651245,0.188010,0.100878,1.595995,453.636810,-103.520927,1394.710938,-0.025860,0.119858,0.202530,-684.390198,-250.190430,1393.755127,-0.011959,1.556674,2.994191,225.563095,-15.697268,1460.357178
12,0,-0.064833,0.099497,-1.560485,-1185.270142,-87.733597,1140.627808,-0.013759,0.016348,1.441088,385.714722,-187.339951,1128.619629,0.117196,-0.273530,-1.709957,-1222.045776,21.557159,1352.248169,-0.000484,-0.043724,1.497371,440.084534,-291.546112,1382.158325,0.065694,0.252562,-1.403328,-1208.123047,-197.715454,1352.760376,0.156280,0.096827,1.575443,454.236969,-103.840591,1394.882324,-0.030874,0.116567,0.207203,-685.660950,-249.255478,1393.925293,-0.039631,1.533264,2.997301,215.709549,-17.291273,1460.356201
13,0,-0.060326,0.095805,-1.556601,-1185.174438,-87.563614,1140.625610,-0.013774,0.016630,1.439708,385.993927,-187.247208,1128.722412,-1.404351,-0.004924,1.165099,-1222.231934,21.985792,1352.407593,0.003280,-0.038471,1.503733,440.605927,-291.754822,1382.287354,0.066112,0.255073,-1.408106,-1208.238281,-197.758209,1352.742310,0.135144,0.090940,1.558459,454.947815,-104.129730,1395.107666,-0.034022,0.105684,0.216194,-687.704346,-248.168198,1394.864380,-0.067990,1.519182,2.996555,205.599655,-18.725832,1460.229248
14,0,-0.058927,0.102769,-1.575610,-1184.942505,-87.277115,1140.817871,-0.011461,0.017330,1.438916,386.304260,-187.164017,1128.869019,-1.390826,-0.012700,1.157364,-1222.088135,21.728769,1352.225342,0.004818,-0.032863,1.493016,440.871765,-291.767975,1382.644165,0.061486,0.262892,-1.412561,-1208.508789,-197.927841,1352.611694,0.158398,0.096327,1.572978,455.317505,-104.221779,1395.252808,-0.035736,0.093500,0.227165,-690.590393,-247.041687,1396.500000,-0.090990,1.518254,2.983839,195.292191,-19.811712,1460.119629
