Objects
100
,,Global Angle belly:belly,,,,,,Global Angle belly_mc:belly_mc,,,,,,Global Angle left_chest:left_chest,,,,,,Global Angle left_chest_mc:left_chest_mc,,,,,,Global Angle right_chest:right_chest,,,,,,Global Angle right_chest_mc:right_chest_mc,,,,,,Global Angle right_hand:right_hand,,,,,,Global Angle right_hand_mc:right_hand_mc,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm
1,0,0.096621,-0.620304,0.729749,-1151.053589,-77.786018,1132.430420,,,,,,,0.123209,-0.218048,-1.457954,-1205.207764,33.490444,1327.012817,-0.011825,-0.032357,1.465130,500.147827,-285.420959,1384.431274,0.017064,0.270625,-1.232916,-1147.057861,-176.771820,1337.677246,0.153764,0.069138,1.543176,521.732056,-98.812119,1397.415527,-0.032716,-0.572178,0.476649,-783.355835,-189.799301,1477.764282,-0.087955,0.887792,3.117732,200.074509,-60.461224,1480.885620
2,0,0.094599,-0.623365,0.762525,-1151.016235,-77.474419,1132.614136,,,,,,,0.111281,-0.227172,-1.408809,-1206.819214,33.491051,1326.823486,0.001241,-0.023092,1.486901,500.533875,-285.788544,1384.437866,0.002473,0.260625,-1.212198,-1146.830444,-175.651581,1338.145630,0.130378,0.065184,1.526779,522.376831,-99.388496,1397.832886,-0.061715,-0.538222,0.435159,-767.883911,-188.706940,1477.033936,-0.047887,0.921812,3.051206,184.929520,-61.410072,1482.841064
3,0,0.082343,-0.601505,0.765235,-1151.102539,-77.281166,1132.491455,,,,,,,0.125867,-0.215430,-1.439431,-1207.337891,34.244308,1326.835083,0.002946,-0.024757,1.471900,501.306305,-286.128387,1384.883301,0.005613,0.258542,-1.208138,-1146.297119,-174.811417,1338.693970,0.126524,0.046082,1.534896,522.489563,-100.258705,1398.612793,-0.063400,-0.501908,0.431986,-751.646057,-187.160309,1475.920654,-0.087250,0.940142,3.004357,172.763885,-63.743256,1482.615479
4,0,0.100059,-0.637268,0.765370,-1151.434937,-77.210999,1132.824707,-0.001422,0.042352,1.393861,449.039795,-175.745911,1131.608521,0.126428,-0.212185,-1.441419,-1208.348999,34.665741,1326.848633,-0.002100,-0.029172,1.480690,502.249420,-286.670715,1385.025146,0.000998,0.268055,-1.209313,-1145.817139,-174.107895,1339.460938,0.130540,0.046132,1.533535,522.946533,-100.823120,1398.816895,-0.075367,-0.461532,0.423975,-735.578613,-185.828613,1474.687988,-0.099444,0.913721,2.984136,158.426743,-64.423698,1483.324951
5,0,0.100076,-0.642008,0.766362,-1151.574341,-77.021210,1132.849365,-0.001587,0.044126,1.393381,449.146149,-175.989227,1131.728882,0.139362,-0.218928,-1.442615,-1209.534058,35.108135,1327.009399,0.000302,-0.018885,1.484301,502.764709,-287.234497,1385.092896,-0.004077,0.258434,-1.193501,-1145.439453,-173.146896,1339.854248,0.111042,0.062941,1.515125,523.473511,-101.177788,1398.713623,-0.078000,-0.423445,0.427474,-719.774963,-185.305161,1472.733032,-0.192736,0.955959,2.954854,144.440292,-65.616768,1482.937866
6,0,0.087350,-0.634091,0.771535,-1151.860474,-77.099564,1133.005371,-0.000003,0.046179,1.393200,449.269318,-176.220718,1131.831665,0.126540,-0.226298,-1.381948,-1210.620239,34.894230,1326.689453,0.011027,-0.016245,1.489550,503.289703,-287.600037,1385.701660,-0.000993,0.232914,-1.177450,-1145.907104,-172.691696,1339.815063,0.098832,0.063531,1.510552,523.765686,-101.602798,1398.741089,-0.064352,-0.372717,0.414956,-703.787598,-184.641754,1470.153198,-0.236238,0.947286,2.942408,130.327377,-65.955322,1482.459961
7,0,-0.022229,0.045367,-1.289003,-1150.773315,-66.167648,1136.703857,0.001010,0.046525,1.392612,449.389923,-176.464462,1131.923096,0.115541,-0.237931,-1.363505,-1211.633179,35.350239,1326.825806,0.008000,-0.022231,1.477021,504.011322,-288.246796,1385.621216,-0.003524,0.228382,-1.168405,-1145.826416,-172.139267,1340.234619,0.129686,0.074565,1.525695,523.857971,-102.318489,1399.103149,-0.068515,-0.325365,0.390069,-689.350769,-184.615906,1467.718750,-0.285739,0.984732,2.908533,116.714638,-65.126144,1481.728027
8,0,-0.021380,0.042204,-1.281891,-1151.052490,-66.015358,1136.816772,0.008117,0.039667,1.395756,449.425446,-176.809570,1132.170654,0.100787,-0.235278,-1.364901,-1212.657349,35.535572,1326.911865,0.000298,-0.029580,1.502003,505.390991,-289.086700,1385.620117,-0.005022,0.224252,-1.157984,-1145.760010,-171.597183,1340.692627,0.099354,0.063275,1.510349,523.926270,-102.932938,1399.214111,-0.041436,-0.288296,0.368149,-675.415649,-184.269943,1464.329468,-0.324313,0.990652,2.883485,103.950165,-64.515244,1480.506226
9,0,-0.040355,0.047039,-1.243132,-1151.332520,-65.981834,1136.677002,0.005731,0.047921,1.392978,449.585144,-177.042236,1132.096069,0.100423,-0.237229,-1.358389,-1213.579834,35.834965,1326.920898,-0.005546,-0.038912,1.480922,506.153351,-289.919708,1385.551025,0.000432,0.224666,-1.153209,-1145.396973,-170.821045,1341.321899,0.115244,0.069923,1.527382,524.260193,-103.278755,1398.703979,-0.003515,-0.245274,0.366699,-662.435242,-184.750961,1461.123413,-0.366228,1.005498,2.852602,91.972832,-63.665115,1479.276001
