Objects
100
,,Global Angle belly:belly,,,,,,Global Angle left_chest:left_chest,,,,,,Global Angle right_chest:right_chest,,,,,,Global Angle right_hand:right_hand,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm
1,0,,,,,,,0.067921,-0.077724,-0.226702,-2.560360,158.251801,1203.573486,-0.285858,0.299023,0.031918,211.131470,153.255737,1194.475830,,,,,,
2,0,,,,,,,0.068945,-0.076956,-0.225755,-2.812863,158.283951,1203.689819,-0.284344,0.301191,0.032327,210.594833,152.812469,1194.131592,,,,,,
3,0,,,,,,,0.069079,-0.076020,-0.225444,-3.142125,158.336594,1203.821045,-0.295206,0.300856,0.045496,210.460007,152.886703,1194.125122,,,,,,
4,0,,,,,,,0.067742,-0.074157,-0.225995,-3.563359,158.380203,1203.961304,-0.292085,0.302734,0.039239,209.975403,152.593018,1193.800293,,,,,,
5,0,,,,,,,0.066786,-0.073082,-0.225368,-3.966890,158.415695,1204.080811,-0.299226,0.304096,0.047003,209.835312,152.704666,1193.733032,,,,,,
6,0,,,,,,,0.066381,-0.071170,-0.225307,-4.344339,158.440506,1204.204224,-0.299457,0.305401,0.043704,209.372147,152.435425,1193.466553,,,,,,
7,0,-0.175944,-0.215915,3.248329,82.131546,185.224533,946.695801,0.064814,-0.072031,-0.224863,-4.733778,158.488388,1204.338257,-0.314332,0.315624,0.045439,209.140747,152.415848,1193.356812,,,,,,
8,0,-0.170880,-0.193008,3.248242,82.011169,184.983887,946.892151,0.063958,-0.072080,-0.224584,-5.076274,158.499878,1204.456543,-0.315305,0.309297,0.055424,208.800339,152.207443,1193.304321,,,,,,
9,0,-0.172690,-0.191855,3.248090,81.929764,184.862701,947.017700,0.064134,-0.071871,-0.224902,-5.371237,158.467987,1204.557251,-0.310002,0.303067,0.059199,208.643921,152.203964,1193.528931,,,,,,
10,0,-0.181150,-0.219047,3.250916,81.953705,184.965302,946.963806,0.064731,-0.072616,-0.224678,-5.617830,158.414734,1204.654907,-0.315522,0.306797,0.059048,208.310318,151.934891,1193.625732,,,,,,
11,0,-0.174397,-0.190928,3.248446,81.782494,184.470093,947.197998,0.065201,-0.073698,-0.225040,-5.803241,158.330856,1204.721313,-0.307295,0.299670,0.061052,208.224640,151.817657,1194.015991,,,,,,
12,0,-0.175180,-0.190135,3.248496,81.698868,184.195938,947.251160,0.065490,-0.074601,-0.226241,-5.929902,158.228973,1204.804932,-0.303348,0.298329,0.056841,208.052658,151.473083,1194.348877,,,,,,
13,0,-0.174519,-0.188027,3.250335,81.631805,183.918137,947.314941,0.065837,-0.075682,-0.227461,-6.022282,158.089890,1204.862671,-0.295862,0.296622,0.048128,208.052246,151.277344,1194.894653,,,,,,
14,0,-0.176196,-0.189866,3.245336,81.596573,183.558655,947.329529,0.066165,-0.077041,-0.228103,-6.064551,157.919601,1204.910645,-0.272100,0.296874,0.030620,207.566452,150.407013,1194.748169,,,,,,
15,0,-0.176860,-0.190991,3.240918,81.574745,183.214462,947.357117,0.066068,-0.077865,-0.230421,-6.091994,157.733902,1204.972778,-0.281604,0.302382,0.032887,207.455063,150.028259,1195.267334,,,,,,
16,0,-0.176691,-0.192248,3.238324,81.551559,182.869812,947.335388,0.066589,-0.078725,-0.232307,-6.093583,157.549591,1205.054321,-0.292421,0.286556,0.056318,207.657913,150.174911,1195.987915,,,,,,
17,0,-0.176028,-0.194296,3.237883,81.527321,182.565475,947.324219,0.066994,-0.080470,-0.232632,-6.097144,157.300034,1205.125854,-0.264708,0.279566,0.046902,207.875702,150.262314,1196.677368,,,,,,
18,0,-0.176261,-0.193191,3.239299,81.526237,182.244415,947.318909,0.069861,-0.080362,-0.232945,-6.103811,157.003036,1205.221680,-0.273823,0.284194,0.044169,207.789703,149.945450,1197.301514,,,,,,
19,0,-0.176094,-0.193090,3.240668,81.517670,181.936630,947.366455,0.072734,-0.081085,-0.229943,-6.115222,156.617157,1205.317749,-0.265926,0.284528,0.036283,207.788727,149.686798,1197.923462,-0.905899,0.637198,1.734775,341.876068,382.777222,968.345642
20,0,-0.176443,-0.195361,3.237362,81.492638,181.627975,947.406372,0.074201,-0.082625,-0.229609,-6.154021,156.216614,1205.439697,-0.244874,0.283030,0.016820,207.266983,148.739944,1197.957153,-0.877588,0.531278,1.750974,340.767548,397.368835,991.874451
21,0,-0.176618,-0.197827,3.234706,81.488052,181.284607,947.466797,0.077238,-0.084308,-0.228267,-6.204176,155.787720,1205.565796,-0.272220,0.303073,0.019555,207.911377,149.335220,1199.440308,-0.867463,0.432708,1.775725,338.934723,411.355011,1015.868774
22,0,-0.480937,-0.122394,0.086315,85.354538,180.597397,947.219543,0.076875,-0.086605,-0.227762,-6.279467,155.331482,1205.748535,-0.264339,0.273620,0.047404,207.317184,148.373093,1199.647583,-0.862981,0.319604,1.784816,336.789734,424.527771,1039.698608
23,0,-0.466566,-0.093102,0.064684,84.933693,180.866592,948.016724,0.079002,-0.087537,-0.226861,-6.372739,154.837204,1205.891968,-0.248818,0.270475,0.032907,207.180145,148.100769,1200.027344,-0.853907,0.269464,1.802797,334.259613,436.746368,1063.341309
24,0,-0.466493,-0.094240,0.064855,84.913132,180.541061,948.161926,0.121597,-0.089595,-0.203173,-6.216169,153.428711,1205.102295,-0.254473,0.265954,0.046418,206.969269,147.570221,1200.695557,-0.845676,0.193213,1.808258,331.300537,448.069489,1086.519653
25,0,-0.472780,-0.101204,0.063123,85.122490,179.767487,947.929932,0.124313,-0.089923,-0.201173,-6.359667,152.872452,1205.224487,-0.237510,0.274707,0.019165,206.599716,146.969681,1200.944336,-0.840360,0.110198,1.810046,328.224640,458.757629,1109.235107
26,0,-0.465017,-0.095110,0.067083,84.839378,179.929428,948.472107,0.122362,-0.091095,-0.200343,-6.544496,152.370834,1205.384155,-0.234197,0.274555,0.017986,206.401276,146.746124,1201.495239,-0.830701,0.034465,1.807075,324.484039,468.905365,1131.303711
27,0,-0.460609,-0.090603,0.058772,84.667580,179.769714,948.874146,0.122766,-0.091311,-0.200454,-6.767813,151.828232,1205.562256,-0.246516,0.292846,0.009838,206.107346,146.490356,1201.862305,-0.837120,-0.045422,1.805411,320.689148,478.700684,1153.194946
28,0,-0.469032,-0.107232,0.063703,84.580063,179.409348,949.318665,0.128119,-0.090804,-0.197257,-7.031996,151.221909,1205.712769,-0.246895,0.281179,0.018387,205.946686,146.488754,1202.448608,-0.810145,-0.085748,1.807654,316.164764,487.311554,1172.970459
29,0,-0.465141,-0.091011,0.038418,84.413567,179.291138,949.773254,0.129410,-0.091531,-0.195130,-7.279102,150.625336,1205.919189,-0.234640,0.264702,0.033887,205.425125,146.053665,1202.622314,-0.797043,-0.156878,1.789352,311.865540,495.418610,1192.624023
30,0,-0.450879,-0.081629,0.058148,84.298180,179.177643,950.326660,0.129156,-0.092105,-0.192241,-7.502813,150.123260,1206.066772,-0.237435,0.264030,0.035236,205.114380,145.995773,1203.038086,-0.807359,-0.239887,1.782914,307.174133,503.979797,1211.702637
31,0,-0.449091,-0.081168,0.057328,84.321747,179.019363,950.464600,0.131854,-0.091107,-0.190052,-7.746524,149.647903,1206.246582,-0.249870,0.261172,0.052826,205.132813,146.456223,1203.826050,-0.806857,-0.309702,1.766823,302.058044,511.760956,1229.459473
32,0,-0.445706,-0.070975,0.062085,84.294052,178.947266,950.433960,0.136316,-0.089137,-0.186305,-7.999328,149.137238,1206.428223,-0.246311,0.250381,0.063978,204.448624,146.054382,1203.863892,-0.806860,-0.360322,1.757109,297.147797,519.510681,1245.817383
33,0,-0.445243,-0.103918,0.080798,84.798767,178.509857,949.723083,0.138124,-0.087272,-0.182421,-8.241814,148.615906,1206.665771,-0.243885,0.254500,0.050288,204.310959,146.329971,1204.398315,-0.809000,-0.426643,1.738679,291.933411,527.334534,1261.332886
34,0,-0.448815,-0.090047,0.054014,85.110703,178.342270,949.508179,0.141301,-0.086249,-0.178203,-8.456470,148.121490,1206.917847,-0.225732,0.250269,0.054143,204.017227,146.416275,1204.777954,-0.813764,-0.473936,1.717158,286.962341,534.860596,1275.432739
35,0,-0.441709,-0.099437,0.054579,85.058594,178.398911,949.902527,0.144782,-0.085616,-0.175038,-8.630711,147.657898,1207.169800,-0.238849,0.249960,0.067771,204.233322,147.007858,1205.484985,-0.820825,-0.505801,1.707351,282.381439,542.573303,1288.162476
36,0,-0.441185,-0.098731,0.055907,85.219284,178.428833,950.023804,0.145721,-0.085421,-0.172598,-8.752978,147.233231,1207.418091,-0.225049,0.252141,0.048807,203.733459,146.771988,1205.628052,-0.830276,-0.547781,1.688145,277.873260,550.427856,1299.867310
37,0,-0.437416,-0.099486,0.064484,85.229713,178.577301,950.321655,0.149395,-0.084839,-0.168335,-8.836142,146.839813,1207.653564,-0.210036,0.259555,0.034726,203.144653,146.491318,1205.421753,-0.841053,-0.578848,1.664785,273.656464,558.139771,1310.335815
38,0,-0.436370,-0.098966,0.062861,85.458176,178.564957,950.290344,0.154545,-0.084087,-0.164366,-8.892278,146.456375,1207.876465,-0.207332,0.245442,0.052921,202.785828,147.004578,1205.688477,-0.857507,-0.600330,1.656382,269.856049,566.099548,1319.389526
39,0,-0.435681,-0.099448,0.065104,85.607300,178.617157,950.315552,0.157676,-0.082826,-0.162396,-8.980181,146.077621,1208.051758,-0.209384,0.254092,0.043843,203.139084,147.285721,1206.697144,-0.871094,-0.610770,1.637157,266.287689,573.729431,1327.219849
40,0,-0.435948,-0.099669,0.065627,85.766693,178.701096,950.347839,0.161837,-0.080455,-0.159122,-9.078750,145.634262,1208.160034,-0.208210,0.253641,0.049271,203.196533,147.727295,1207.389526,-0.899523,-0.615447,1.614433,262.865234,581.731384,1334.472290
41,0,-0.434904,-0.099263,0.066092,85.912788,178.824890,950.378357,0.162382,-0.080247,-0.156938,-9.192066,145.218369,1208.260254,-0.241553,0.250790,0.077546,203.232895,148.759521,1208.307983,-0.929010,-0.614280,1.591799,259.827118,589.075378,1340.058228
42,0,-0.434571,-0.098944,0.067017,86.024429,178.997940,950.420166,0.164381,-0.079842,-0.155824,-9.349496,144.808517,1208.307129,-0.236627,0.252920,0.073940,203.089996,148.728363,1208.372314,-0.955525,-0.615787,1.570048,257.203583,596.282471,1344.607788
43,0,-0.434291,-0.099200,0.068554,86.136345,179.193832,950.474609,0.164952,-0.078918,-0.153672,-9.511354,144.393967,1208.325439,-0.174779,0.264501,-0.009835,202.221970,147.612701,1208.424316,-0.977859,-0.619394,1.549954,254.876846,603.191956,1348.072021
