Objects
100
,,Global Angle belly:belly,,,,,,Global Angle left_chest:left_chest,,,,,,Global Angle right_chest:right_chest,,,,,,Global Angle right_hand:right_hand,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ
Unnamed: 0,Unnamed: 1,rad,rad.1,rad.2,mm,mm.1,mm.2,rad.6,rad.7,rad.8,mm.6,mm.7,mm.8,rad.12,rad.13,rad.14,mm.12,mm.13,mm.14,rad.18,rad.19,rad.20,mm.18,mm.19,mm.20
1,0,,,,,,,0.106592,-0.093858,-1.248959,-1181.435181,41.784573,1337.128784,-0.066946,0.308423,-1.016511,-1082.901733,-152.845734,1334.662964,0.106881,-0.258004,0.335032,-571.639709,-191.786789,1457.024536
2,0,,,,,,,0.102055,-0.087465,-1.242223,-1182.064087,42.273598,1336.977783,-0.073743,0.353725,-1.030968,-1082.003662,-151.638336,1334.768188,0.108497,-0.252773,0.327215,-566.902039,-191.873505,1455.412354
3,0,,,,,,,0.103159,-0.084606,-1.235295,-1182.749512,42.745296,1336.7854,-0.079046,0.357039,-1.021549,-1081.432007,-150.591858,1334.352783,0.107271,-0.246535,0.321939,-563.567444,-191.962173,1454.187622
4,0,,,,,,,0.103067,-0.087507,-1.22937,-1183.3302,43.252811,1336.691528,-0.098952,0.353884,-0.999626,-1081.429443,-149.535828,1333.651978,0.107433,-0.228946,0.338314,-561.490112,-192.294327,1453.569092
5,0,,,,,,,0.101511,-0.087959,-1.226572,-1183.753906,43.666512,1336.660034,-0.083387,0.362739,-1.008804,-1080.832397,-148.742752,1333.750732,0.114045,-0.24486,0.315527,-560.354004,-192.432297,1452.664307
6,0,,,,,,,0.100019,-0.08539,-1.225498,-1184.079224,43.969688,1336.662598,-0.10087,0.364964,-0.998824,-1081.156982,-148.223831,1333.199951,0.120643,-0.231263,0.333104,-560.424683,-193.06752,1452.302002
7,0,,,,,,,0.09948,-0.08466,-1.225146,-1184.249146,44.160839,1336.705688,-0.097077,0.362468,-0.999656,-1081.441284,-148.080078,1333.050049,0.136462,-0.225163,0.334615,-561.218018,-193.758835,1451.987671
8,0,,,,,,,0.099002,-0.084985,-1.226023,-1184.289063,44.241665,1336.808228,-0.094684,0.361563,-1.002683,-1081.863647,-148.20639,1333.019165,0.153716,-0.226889,0.340694,-563.044495,-194.613358,1451.809692
9,0,,,,,,,0.100705,-0.085989,-1.228312,-1184.171631,44.200268,1336.92688,-0.091443,0.357353,-1.004153,-1082.397583,-148.553406,1333.19397,0.170222,-0.228312,0.346471,-565.692139,-195.602966,1451.735229
10,0,,,,,,,0.101021,-0.088671,-1.230828,-1183.954224,44.064861,1337.055054,-0.089056,0.35039,-1.009844,-1083.158325,-149.137329,1333.436157,0.198583,-0.239555,0.344961,-569.211975,-196.825226,1451.758667
11,0,,,,,,,0.100664,-0.090473,-1.234996,-1183.65686,43.805565,1337.12561,-0.086919,0.345644,-1.01183,-1083.850098,-149.991898,1333.798828,0.208526,-0.246632,0.347679,-573.477783,-197.828918,1452.276978
12,0,,,,,,,0.098917,-0.090251,-1.240426,-1183.263672,43.478401,1337.191895,-0.081126,0.342663,-1.01468,-1084.757446,-151.011703,1334.096313,0.210411,-0.255297,0.350645,-578.563721,-198.770691,1453.13623
13,0,-0.225484,-0.331463,1.95667,-1135.498413,-47.850834,1125.947998,0.098601,-0.08901,-1.249548,-1182.731079,43.050053,1337.283936,-0.076066,0.336014,-1.022718,-1085.785645,-152.143707,1334.343018,0.20941,-0.266262,0.354481,-584.304321,-199.776764,1454.383179
14,0,-0.226726,-0.331762,1.948297,-1135.008911,-48.593174,1126.270508,0.099183,-0.093704,-1.256398,-1182.185303,42.596359,1337.344482,-0.055,0.331013,-1.044625,-1086.929443,-153.31546,1334.776733,0.200911,-0.272701,0.385817,-590.864685,-201.049545,1455.732178
15,0,-0.233826,-0.334615,1.939362,-1134.590454,-49.351315,1126.586304,0.10041,-0.098726,-1.265294,-1181.689087,42.106079,1337.355591,-0.049977,0.333396,-1.05535,-1087.782593,-154.706131,1335.473145,0.199571,-0.290197,0.385614,-597.982544,-202.284302,1457.432007
