x,y,z,p1_x,p1_y,p1_z,p2_x,p2_y,p2_z,p3_x,p3_y,p3_z
71.854149,-49.126637,1502.15625,448.185242,-183.253342,1133.984985,518.716003,-116.854454,1402.072266,514.261963,-303.465179,1383.312988
79.928841,-48.965031,1504.850464,448.065704,-183.495712,1133.861206,518.489746,-116.881042,1402.170044,513.802368,-303.366852,1383.252563
88.594971,-48.596619,1507.44397,447.934479,-183.735306,1133.721069,518.138062,-116.58873,1401.863403,513.367065,-303.242584,1383.151978
97.693367,-48.283577,1509.90564,447.786652,-183.96405,1133.585571,517.492554,-116.480431,1402.128296,512.891846,-303.115479,1383.065186
107.399117,-48.249321,1511.978271,447.658783,-184.149109,1133.43457,516.792358,-116.425476,1402.281738,512.431458,-302.877655,1382.867554
116.307846,-47.250851,1515.392212,447.52121,-184.309753,1133.297241,516.285767,-116.245842,1402.241455,511.850769,-302.638855,1382.818115
127.297447,-47.363712,1516.721802,447.366241,-184.460953,1133.173096,515.970703,-115.930382,1401.93811,511.280304,-302.366577,1382.76416
138.676407,-47.167419,1517.611816,447.192657,-184.629227,1133.044678,515.430542,-115.739502,1401.89502,510.766754,-302.093872,1382.693848
150.697235,-47.515793,1518.338501,446.907715,-184.83902,1133.06604,514.806519,-115.458031,1401.778564,510.294922,-301.81131,1382.573975
162.671097,-47.08567,1519.139771,446.743225,-184.884567,1132.773315,514.215759,-115.091293,1401.497314,509.735291,-301.60257,1382.474609
174.719055,-46.640549,1519.665039,446.428589,-185.125748,1132.841064,513.707336,-114.978325,1401.280029,509.163208,-301.464386,1382.438721
187.16803,-46.048786,1519.755859,446.257721,-185.182663,1132.524414,512.961365,-114.748489,1401.089844,508.598755,-301.311462,1382.281494
199.32402,-45.245579,1519.956543,446.119934,-185.181168,1132.13623,512.170227,-114.447365,1400.927002,508.139069,-301.124481,1382.114624
211.998657,-44.546223,1519.537354,445.798065,-185.484558,1132.256714,511.630371,-114.081375,1400.379395,507.667664,-300.956696,1382.072754
225.012604,-43.731861,1518.758301,445.532562,-185.668579,1132.10376,511.12323,-113.967598,1400.276367,507.134186,-300.828461,1381.958008
238.148621,-42.752144,1517.66272,445.318481,-185.773407,1131.827881,510.351349,-113.723846,1400.145142,506.597046,-300.686066,1381.967163
251.741501,-41.896324,1515.979004,445.051208,-185.979492,1131.709229,509.510651,-113.740448,1400.241455,506.149719,-300.371521,1381.555908
264.981659,-40.584671,1514.418945,444.756897,-186.280762,1131.74707,508.78186,-113.535721,1399.986206,505.899536,-300.362,1381.490479
278.395844,-39.614059,1512.319946,444.583954,-186.387619,1131.401367,507.774048,-113.249092,1399.809326,505.53067,-300.149689,1381.279297
291.973755,-38.502644,1510.113647,444.19162,-186.757538,1131.452515,506.84964,-113.225258,1399.633179,504.493652,-300.125092,1381.038452
305.213684,-37.542999,1507.729004,444.004822,-187.047928,1131.297729,506.06073,-112.953491,1399.068726,504.368195,-299.930634,1380.983276
318.057587,-36.371197,1505.45459,443.730042,-187.349518,1131.125366,505.077484,-113.043633,1399.032593,503.927185,-299.914185,1380.836426
330.436432,-35.554306,1503.078491,442.969635,-187.664032,1131.107544,504.201233,-112.857506,1398.552612,503.514832,-299.867493,1380.692383
342.777405,-34.638565,1500.334229,442.769806,-187.952789,1131.051147,503.629578,-112.171646,1397.732178,503.037689,-299.801331,1380.511719
353.659973,-33.833595,1497.806519,442.46582,-188.170181,1130.920044,503.035797,-111.84037,1396.938843,502.387177,-299.71582,1380.628784
363.709351,-33.503147,1495.390625,442.085541,-188.374847,1130.803467,502.750946,-111.285736,1396.349609,501.843628,-299.544128,1380.589722
373.078339,-33.680759,1493.110596,441.737518,-188.526321,1130.715698,502.343842,-111.063248,1395.729126,501.314697,-299.401123,1380.294312
380.945648,-33.230194,1491.418091,441.470123,-188.601395,1130.646606,502.252167,-110.485413,1395.039429,500.878082,-299.082764,1380.266724
387.634552,-33.07407,1490.110352,441.245941,-188.61998,1130.607544,502.110962,-109.819748,1394.294678,500.418549,-298.699585,1380.328003
393.246582,-33.004177,1489.364746,441.090912,-188.580154,1130.587646,502.18457,-109.404091,1393.893555,500.385895,-298.232666,1380.057251
397.57666,-33.192486,1489.004395,440.996918,-188.481552,1130.598267,502.297058,-108.688911,1393.47522,499.924835,-297.592957,1380.128784
400.939301,-33.495888,1488.726563,440.967896,-188.331665,1130.635742,502.517639,-108.163361,1393.281738,499.085052,-297.209778,1380.846436
403.233887,-33.460377,1489.238037,440.998322,-188.120941,1130.702393,502.82605,-107.65419,1393.156372,499.228577,-296.631531,1380.529663
404.438049,-33.38615,1490.037964,441.083893,-187.848907,1130.802124,503.176941,-107.255684,1393.133301,499.045746,-296.315338,1380.794312
404.551971,-33.246021,1491.169189,441.231232,-187.5112,1130.930542,503.612274,-107.060684,1393.292114,498.885498,-295.937988,1380.95105
403.388672,-33.63604,1492.061768,441.40448,-187.137527,1131.056519,504.015625,-106.817116,1393.355591,498.769348,-295.639343,1381.084351
401.648376,-33.41489,1493.684204,441.605438,-186.735947,1131.183472,504.355957,-106.537163,1393.288086,498.688385,-295.432983,1381.185059
398.865021,-33.28812,1495.442993,441.84967,-186.323776,1131.306885,504.809692,-106.636154,1393.672119,498.702209,-295.137054,1381.083252
395.115051,-33.321133,1497.43042,442.09848,-185.913513,1131.438232,504.766113,-106.866417,1394.064209,498.736725,-294.982452,1381.100952
390.790588,-33.205273,1499.62854,442.369507,-185.530334,1131.535034,505.374786,-106.592407,1393.914185,498.758667,-294.920746,1381.148071
385.668182,-33.101765,1501.94104,442.622498,-185.160172,1131.602539,505.905762,-106.80088,1394.362061,499.010651,-294.71225,1381.013062
379.619141,-33.327827,1504.373169,442.856781,-184.737488,1131.650269,506.66745,-106.49939,1394.040771,499.14679,-294.666656,1381.005371
372.84787,-33.800617,1506.873047,443.111755,-184.247498,1131.682983,507.646454,-106.356842,1393.933838,499.317719,-294.628876,1381.010376
365.164429,-34.440823,1509.358521,443.34314,-183.802032,1131.711426,507.991791,-106.456467,1393.909424,499.494446,-294.599426,1381.03894
357.181427,-35.011261,1512.406494,443.46759,-183.395706,1131.761841,508.555878,-106.58432,1394.082886,499.693756,-294.565186,1381.081909
348.222931,-36.013222,1515.186157,443.555603,-182.997955,1131.75647,509.289551,-106.613358,1394.347412,499.909088,-294.53894,1381.15686
338.570801,-37.20813,1517.885132,444.332092,-182.544067,1131.538452,509.724274,-107.252144,1395.075195,500.135132,-294.479279,1381.229614
328.58075,-37.293037,1521.218994,444.651459,-182.23732,1131.58667,510.536896,-106.952499,1395.150269,500.346252,-294.424988,1381.337402
317.932434,-38.798698,1523.872925,444.908508,-181.947678,1131.634644,511.01297,-107.27063,1395.504272,500.542633,-294.382904,1381.471436
306.838501,-40.386147,1526.479614,445.154053,-181.649277,1131.599243,511.649017,-107.328209,1395.572021,500.717773,-294.364227,1381.63562
295.309662,-41.984837,1528.973022,445.685394,-181.397095,1131.565918,512.402954,-107.367065,1395.729492,501.05954,-294.232147,1381.714355
283.412323,-43.822376,1531.401367,446.019135,-181.218674,1131.668823,513.150757,-107.264847,1395.844727,501.516357,-294.259644,1381.973633
271.032837,-45.54229,1533.61084,446.200928,-181.140747,1131.936523,513.728333,-107.517006,1396.234741,501.617065,-294.349121,1382.810425
258.254089,-47.214973,1535.559692,446.482758,-181.040039,1132.038574,514.365295,-107.52478,1396.411621,501.700714,-294.714966,1383.203857
245.099976,-48.98933,1537.271484,446.768646,-180.944702,1132.143799,515.090759,-107.478127,1396.545044,502.513885,-294.379913,1383.276001
231.61972,-50.649319,1538.571655,447.361023,-181.065582,1131.995483,515.667236,-107.55043,1396.889282,502.492615,-294.362762,1383.540771
218.458572,-52.789227,1539.481079,447.291473,-180.935944,1132.515015,516.410095,-107.583267,1396.994629,502.845825,-294.373596,1383.701904
205.035797,-53.507874,1540.318726,447.463379,-180.90033,1132.634399,517.075012,-107.632141,1397.244263,503.222809,-294.380829,1383.857666
191.278824,-54.883831,1540.345459,447.87915,-180.806183,1132.507324,517.739685,-107.916977,1397.881958,503.426849,-294.715271,1384.166504
177.683304,-55.717175,1539.885376,448.078156,-180.855804,1132.668213,518.377625,-108.099388,1398.26001,504.151581,-294.173584,1384.281738
163.535721,-55.841244,1539.357666,448.307007,-180.844543,1132.738159,519.091003,-108.177643,1398.236084,504.702759,-294.527618,1384.393066
150.477295,-56.489407,1537.615112,448.73233,-180.958023,1132.63269,519.687256,-108.392059,1398.523438,504.831848,-294.534607,1384.523926
137.820557,-57.625153,1535.342529,448.944824,-180.928711,1132.709229,520.063354,-108.624496,1398.727539,505.176849,-294.765198,1384.671387
125.410599,-58.375088,1533.466309,449.052795,-180.961288,1132.94104,521.091187,-108.585114,1398.556519,505.569885,-294.990112,1384.830688
113.80043,-58.521458,1531.812622,449.218597,-180.892731,1133.040161,521.424011,-108.823196,1398.763184,505.991516,-295.208252,1384.962891
102.369614,-58.012066,1530.899048,449.387482,-180.832901,1133.152832,521.784119,-109.157066,1398.918945,506.629059,-295.492981,1385.083618
92.117569,-58.528912,1528.980103,449.546936,-180.80368,1133.256348,522.037415,-109.581879,1399.075928,507.073578,-295.776398,1385.172852
82.764214,-58.850842,1526.553833,449.691406,-180.784119,1133.364014,522.520325,-110.024246,1399.167114,507.603882,-296.262054,1385.057129
73.891235,-58.746658,1523.717896,449.914795,-180.718765,1133.338867,522.684509,-110.577225,1399.417969,508.334229,-296.49057,1384.986694
65.713257,-58.309982,1520.370361,450.013031,-180.735886,1133.437256,522.958984,-110.801849,1399.166748,508.611694,-297.16748,1385.372681
58.576279,-57.781132,1516.460938,450.09549,-180.804276,1133.516235,522.94751,-111.275513,1399.282104,509.134521,-297.73111,1385.480103
52.161274,-57.515614,1512.786499,450.144836,-180.901581,1133.582275,522.87085,-111.968086,1399.591553,509.58432,-298.272125,1385.593994
46.391541,-56.549782,1509.169434,450.151489,-181.045471,1133.65625,522.55957,-112.816391,1399.871216,510.224884,-298.863281,1385.650513
41.50441,-55.483566,1505.836182,450.147827,-181.241425,1133.69873,522.635071,-113.079903,1399.690308,510.775635,-299.474396,1385.663086
37.787998,-54.476406,1502.331543,450.10318,-181.485962,1133.75293,522.392639,-113.893707,1399.993164,511.201019,-300.209473,1385.712524
34.844193,-53.119755,1499.135498,450.058624,-181.80188,1133.772339,522.046997,-114.598755,1400.171387,511.74469,-300.916779,1385.698242
32.790752,-51.53112,1496.119507,449.953644,-182.154404,1133.807617,521.782715,-115.21946,1400.307617,512.252808,-301.564545,1385.671509
31.624199,-49.81068,1493.505615,449.830597,-182.530914,1133.846313,521.630615,-115.981071,1400.496338,512.74408,-302.136719,1385.690552
31.174606,-48.454391,1491.397705,449.699036,-182.929291,1133.877686,521.347168,-116.444481,1400.445068,513.085388,-302.693054,1385.568604
31.279985,-47.465816,1489.938721,449.555115,-183.365005,1133.883179,521.045166,-116.867935,1400.42334,513.275818,-303.202942,1385.435791
31.964767,-46.736004,1489.172729,449.397675,-183.855499,1133.888184,520.758606,-117.097244,1400.322876,514.113098,-303.157684,1385.047852
33.093998,-46.224995,1489.118042,449.265564,-184.356766,1133.865967,520.222473,-117.73745,1400.63623,514.345886,-303.470795,1384.902954
34.636124,-45.897449,1489.497437,449.152527,-184.867371,1133.812012,519.944031,-117.502144,1400.240234,514.442322,-303.722992,1384.776123
36.851555,-45.921501,1489.994385,448.804932,-185.149841,1133.989624,519.726563,-117.631073,1400.282837,514.473267,-303.895844,1384.653442
39.571907,-45.865345,1490.732178,448.601746,-185.627029,1134.088623,519.451599,-117.627464,1400.169434,514.458435,-303.987854,1384.552979
42.99683,-46.071926,1491.457275,448.471222,-186.035568,1134.06604,519.209167,-117.606911,1400.078857,514.51532,-304.011658,1384.584351
46.75824,-46.007999,1492.581665,448.354614,-186.438446,1134.013794,518.931519,-117.529839,1399.935791,514.318298,-303.994385,1384.475708
51.484688,-45.938976,1493.494629,448.05957,-186.880188,1134.178467,518.614563,-117.549179,1400.054932,514.317993,-303.894348,1384.494263
57.019581,-45.78656,1494.513306,448.122528,-187.157623,1133.915527,518.399902,-117.360497,1399.834351,514.078186,-303.832794,1384.388428
63.353241,-45.473156,1495.226807,448.047913,-187.386276,1133.740723,518.063538,-117.366982,1399.913452,513.929321,-303.773438,1384.323975
70.093208,-45.398914,1495.945435,447.898224,-187.655029,1133.694824,517.907471,-117.182579,1399.779297,513.746582,-303.708954,1384.2323
77.305344,-45.467461,1496.5896,447.75531,-187.895004,1133.63623,517.60675,-117.097389,1399.913574,513.4953,-303.651154,1384.126953
