Objects
100
,,Global Angle belly:belly,,,,,,Global Angle left_chest:left_chest,,,,,,Global Angle right_chest:right_chest,,,,,,Global Angle right_hand:right_hand,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ
Unnamed: 0,Unnamed: 1,rad.3,rad.4,rad.5,mm.3,mm.4,mm.5,rad.9,rad.10,rad.11,mm.9,mm.10,mm.11,rad.15,rad.16,rad.17,mm.15,mm.16,mm.17,rad.21,rad.22,rad.23,mm.21,mm.22,mm.23
1,0,,,,,,,-0.030682,-0.016582,1.609069,502.76004,-292.82547,1385.211426,0.047542,0.062748,1.654383,499.117767,-103.29332,1394.671387,0.483729,1.514846,3.080271,394.104675,-21.219738,1464.787109
2,0,,,,,,,-0.031356,-0.02474,1.605359,503.092529,-292.952942,1385.033325,0.047694,0.061477,1.650041,499.372375,-103.632866,1394.724731,0.486281,1.513631,3.089201,392.287781,-22.520771,1465.7146
3,0,,,,,,,-0.04773,-0.05568,1.564972,503.902863,-293.139221,1384.511475,0.071919,0.072558,1.669332,499.676727,-103.937843,1395.174927,0.491531,1.500299,3.09745,390.006134,-23.884304,1466.711792
4,0,-0.006606,0.030515,1.553961,444.434265,-194.210785,1127.766968,-0.049221,-0.056943,1.55938,504.207062,-293.417358,1384.549438,0.068181,0.071752,1.663237,500.060425,-103.933372,1395.282104,0.490187,1.486874,3.105177,387.334747,-25.323427,1467.651245
5,0,0.001589,0.03699,1.558883,444.451202,-194.170013,1128.067627,-0.046314,-0.056816,1.566158,504.810333,-293.407043,1384.319092,0.065438,0.067829,1.664489,500.106873,-104.336296,1395.360962,0.493513,1.472301,3.113302,384.211945,-26.68708,1468.566284
6,0,-0.010513,0.027171,1.555032,444.762726,-194.284409,1128.086304,-0.047239,-0.05834,1.565067,505.236084,-293.609406,1384.330078,0.043241,0.061412,1.656713,500.223114,-104.634544,1395.457275,0.470155,1.468945,3.123551,380.584991,-27.849075,1469.643188
7,0,-0.007608,0.033165,1.554699,444.888947,-194.419724,1128.085205,-0.046494,-0.059109,1.565347,505.664337,-293.786682,1384.311279,0.048406,0.062292,1.665079,500.583527,-104.867332,1395.65271,0.474171,1.492378,3.117977,376.595825,-28.596966,1470.675903
8,0,-0.002158,0.038013,1.54791,444.845917,-194.466385,1128.204468,-0.044113,-0.056842,1.566574,506.049561,-293.971619,1384.345093,0.060142,0.070656,1.672182,500.733032,-105.107658,1395.736328,0.493879,1.472214,3.118282,371.961212,-29.725269,1471.132446
9,0,-0.000238,0.03919,1.546637,445.013947,-194.470703,1128.265259,-0.041137,-0.05354,1.570122,506.484344,-294.140594,1384.387939,0.068006,0.073984,1.675723,501.089386,-105.30941,1395.876953,0.440352,1.489932,3.134037,366.713623,-30.421904,1471.806274
10,0,-0.002211,0.03683,1.543575,445.132599,-194.4664,1128.338501,-0.034359,-0.049658,1.573313,507.036987,-294.391418,1384.592896,0.068149,0.072746,1.674126,501.449829,-105.47464,1396.001587,0.462281,1.46793,3.127359,360.911621,-31.443909,1471.97876
11,0,-0.007014,0.032849,1.537796,445.218231,-194.438385,1128.414063,-0.03619,-0.052569,1.571059,507.539154,-294.570313,1384.56543,0.055748,0.061586,1.661866,501.901794,-106.01812,1396.489868,0.418524,1.486142,3.136038,354.546906,-32.06353,1472.486694
12,0,0.005935,0.041314,1.546129,445.575958,-194.375214,1128.446289,-0.034068,-0.057605,1.569722,508.03186,-294.611176,1384.355713,0.065347,0.067719,1.668269,502.342224,-106.497467,1396.722534,0.422307,1.466948,3.135421,347.828491,-32.908318,1472.586182
13,0,0.010139,0.043987,1.54137,445.59375,-194.537231,1128.468384,-0.033562,-0.050549,1.571759,508.400146,-294.92627,1384.579834,0.016135,0.051781,1.631218,503.123871,-106.754173,1396.775757,0.4049,1.467326,3.136169,340.607605,-33.612293,1472.854858
14,0,0.010974,0.044965,1.541675,445.770447,-194.469696,1128.556519,-0.031807,-0.049423,1.573406,508.910126,-295.094391,1384.595947,0.02442,0.053786,1.635507,503.657471,-106.920013,1396.874268,0.353141,1.478725,3.140956,333.037354,-34.144207,1473.345459
15,0,0.009316,0.045766,1.542369,445.996857,-194.44191,1128.693848,-0.030515,-0.051845,1.567678,509.531555,-295.254517,1384.614136,0.02216,0.049893,1.631831,504.116058,-107.30291,1396.973633,0.360873,1.460055,3.135983,325.103485,-34.908253,1473.42041
16,0,0.010124,0.045853,1.539463,446.162842,-194.362595,1128.773926,-0.032505,-0.053366,1.567518,510.024078,-295.385498,1384.514404,0.024511,0.022335,1.636387,504.455322,-107.646339,1397.590332,0.33643,1.449692,3.137264,316.835693,-35.516891,1473.626953
17,0,0.011808,0.046249,1.534493,446.310089,-194.267334,1128.850952,-0.026631,-0.053348,1.567479,510.487732,-295.551636,1384.630371,0.01824,0.020093,1.636258,505.009644,-107.716774,1397.700439,0.316437,1.443717,3.133778,308.216309,-36.055218,1473.904297
18,0,0.007767,0.041698,1.542382,446.877411,-193.973114,1129.020508,-0.021386,-0.048005,1.57874,510.844757,-295.690704,1384.669312,0.022606,0.019901,1.636401,505.6138,-107.819824,1397.877441,0.29554,1.438616,3.130551,299.338959,-36.576527,1474.131226
19,0,0.008663,0.040987,1.541306,447.164978,-193.884872,1129.116577,-0.036768,-0.051155,1.556803,511.611115,-295.642212,1384.661621,0.025484,0.040981,1.622584,506.466278,-107.960075,1397.723999,0.271151,1.43307,3.123168,290.092255,-37.027187,1474.371826
20,0,0.010685,0.041658,1.540728,447.469391,-193.7789,1129.212158,-0.026641,-0.041727,1.570897,511.952148,-295.910919,1384.776367,0.027921,0.045617,1.617208,507.219147,-108.054253,1397.870483,0.243028,1.430379,3.119859,280.577881,-37.478004,1474.556274
21,0,0.013096,0.042802,1.540046,447.782043,-193.686722,1129.31311,-0.035961,-0.059906,1.552493,512.711426,-295.6651,1384.681519,0.033747,0.049203,1.618101,507.856537,-108.135849,1397.968994,0.163005,1.479852,3.122695,271.012756,-37.422897,1475.176758
22,0,0.015123,0.043641,1.539465,448.065033,-193.560593,1129.437256,-0.03803,-0.047105,1.558731,513.064026,-295.892395,1384.924194,0.034639,0.062393,1.613203,508.544617,-107.972435,1397.827393,0.148973,1.473151,3.106716,260.754822,-37.979195,1475.26416
23,0,0.016583,0.045599,1.538191,448.378662,-193.454819,1129.539673,-0.022903,-0.041545,1.575505,513.349609,-295.992188,1385.091797,0.0421,0.057777,1.614475,509.283356,-108.236237,1398.335815,0.16357,1.418163,3.089925,250.071106,-38.87347,1475.259155
24,0,0.020551,0.050661,1.537886,448.661652,-193.303314,1129.647339,-0.011693,-0.029216,1.582552,513.607605,-295.94165,1385.454956,0.042203,0.059155,1.616394,510.032227,-108.101265,1398.353516,0.123361,1.414807,3.081204,239.613785,-39.369026,1475.711304
25,0,0.023514,0.054673,1.531728,448.738464,-193.385834,1129.714722,-0.008811,-0.016744,1.589589,514.135193,-295.783142,1385.713013,0.050367,0.059878,1.621161,510.778961,-108.187561,1398.636475,0.032236,1.488762,3.062742,229.392792,-39.234795,1476.847412
26,0,0.025012,0.056292,1.530191,449.007263,-193.25383,1129.839478,-0.0126,-0.021196,1.578569,514.753784,-295.692322,1385.732056,0.038984,0.054464,1.612394,511.596375,-108.098053,1398.687622,-0.00651,1.458373,3.061631,218.977448,-40.334545,1477.400879
27,0,0.02195,0.057431,1.530479,449.468384,-192.908295,1130.07251,-0.00997,-0.0178,1.586704,515.177368,-295.702606,1385.841309,0.037292,0.052905,1.606321,512.410889,-108.16069,1398.892578,-0.043389,1.450905,3.051108,208.844727,-41.028732,1478.416504
28,0,0.021193,0.058073,1.527195,449.831055,-192.77449,1130.217896,-0.009443,-0.01582,1.584351,515.676331,-295.642151,1385.944824,0.038623,0.053616,1.602744,513.143127,-108.136848,1399.015869,-0.064852,1.434711,3.0398,198.925415,-41.9207,1479.415405
29,0,0.020448,0.057236,1.525171,450.189392,-192.652237,1130.330566,-0.010474,-0.016773,1.572093,516.276733,-295.553772,1386.067871,0.031602,0.054186,1.599893,513.760315,-108.166298,1399.272339,-0.092465,1.417079,3.033951,189.249496,-42.774849,1480.534912
30,0,0.021178,0.055694,1.525231,450.53476,-192.516235,1130.419678,-0.009743,-0.018083,1.574041,516.865784,-295.524139,1386.171997,0.035447,0.057702,1.601271,514.421387,-108.173752,1399.360474,-0.10021,1.405446,3.021105,179.710419,-43.401459,1481.768311
