Objects
100
,,Global Angle belly:belly,,,,,,Global Angle left_chest:left_chest,,,,,,Global Angle right_chest:right_chest,,,,,,Global Angle right_hand:right_hand,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ
Unnamed: 0,Unnamed: 1,rad,rad.1,rad.2,mm,mm.1,mm.2,rad.6,rad.7,rad.8,mm.6,mm.7,mm.8,rad.12,rad.13,rad.14,mm.12,mm.13,mm.14,rad.18,rad.19,rad.20,mm.18,mm.19,mm.20
1,0,0.096621,-0.620304,0.729749,-1151.053589,-77.786018,1132.43042,0.123209,-0.218048,-1.457954,-1205.207764,33.490444,1327.012817,0.017064,0.270625,-1.232916,-1147.057861,-176.77182,1337.677246,-0.032716,-0.572178,0.476649,-783.355835,-189.799301,1477.764282
2,0,0.094599,-0.623365,0.762525,-1151.016235,-77.474419,1132.614136,0.111281,-0.227172,-1.408809,-1206.819214,33.491051,1326.823486,0.002473,0.260625,-1.212198,-1146.830444,-175.651581,1338.14563,-0.061715,-0.538222,0.435159,-767.883911,-188.70694,1477.033936
3,0,0.082343,-0.601505,0.765235,-1151.102539,-77.281166,1132.491455,0.125867,-0.21543,-1.439431,-1207.337891,34.244308,1326.835083,0.005613,0.258542,-1.208138,-1146.297119,-174.811417,1338.69397,-0.0634,-0.501908,0.431986,-751.646057,-187.160309,1475.920654
4,0,0.100059,-0.637268,0.76537,-1151.434937,-77.210999,1132.824707,0.126428,-0.212185,-1.441419,-1208.348999,34.665741,1326.848633,0.000998,0.268055,-1.209313,-1145.817139,-174.107895,1339.460938,-0.075367,-0.461532,0.423975,-735.578613,-185.828613,1474.687988
5,0,0.100076,-0.642008,0.766362,-1151.574341,-77.02121,1132.849365,0.139362,-0.218928,-1.442615,-1209.534058,35.108135,1327.009399,-0.004077,0.258434,-1.193501,-1145.439453,-173.146896,1339.854248,-0.078,-0.423445,0.427474,-719.774963,-185.305161,1472.733032
6,0,0.08735,-0.634091,0.771535,-1151.860474,-77.099564,1133.005371,0.12654,-0.226298,-1.381948,-1210.620239,34.89423,1326.689453,-0.000993,0.232914,-1.17745,-1145.907104,-172.691696,1339.815063,-0.064352,-0.372717,0.414956,-703.787598,-184.641754,1470.153198
7,0,-0.022229,0.045367,-1.289003,-1150.773315,-66.167648,1136.703857,0.115541,-0.237931,-1.363505,-1211.633179,35.350239,1326.825806,-0.003524,0.228382,-1.168405,-1145.826416,-172.139267,1340.234619,-0.068515,-0.325365,0.390069,-689.350769,-184.615906,1467.71875
8,0,-0.02138,0.042204,-1.281891,-1151.05249,-66.015358,1136.816772,0.100787,-0.235278,-1.364901,-1212.657349,35.535572,1326.911865,-0.005022,0.224252,-1.157984,-1145.76001,-171.597183,1340.692627,-0.041436,-0.288296,0.368149,-675.415649,-184.269943,1464.329468
9,0,-0.040355,0.047039,-1.243132,-1151.33252,-65.981834,1136.677002,0.100423,-0.237229,-1.358389,-1213.579834,35.834965,1326.920898,0.000432,0.224666,-1.153209,-1145.396973,-170.821045,1341.321899,-0.003515,-0.245274,0.366699,-662.435242,-184.750961,1461.123413
