Objects
100
,,Global Angle belly:belly,,,,,,Global Angle left_chest:left_chest,,,,,,Global Angle right_chest:right_chest,,,,,,Global Angle right_hand:right_hand,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm
1,0,-1.837300,-0.053808,2.287721,155.628113,168.858017,1211.747070,0.010534,-0.080748,-0.019767,-59.191147,148.647659,1190.486084,,,,,,,-0.234316,-0.571252,2.423124,337.080322,388.383148,1564.908569
2,0,-1.829240,-0.049497,2.289383,155.786667,168.886032,1211.940308,-0.003841,-0.097951,-0.031719,-58.877277,148.591583,1190.573730,,,,,,,-0.243115,-0.587677,2.422051,336.310638,387.885010,1566.901367
3,0,-1.824525,-0.036450,2.296617,155.950684,169.070358,1212.187500,-0.004183,-0.097714,-0.032303,-58.789448,148.743652,1190.696777,,,,,,,-0.241770,-0.592736,2.419513,335.450684,387.296844,1569.318726
4,0,-1.798814,0.076144,2.353970,156.240738,170.631958,1212.887573,-0.002442,-0.097566,-0.032500,-58.641663,148.897842,1190.805420,,,,,,,-0.219616,-0.614003,2.403277,334.352112,386.209503,1571.765869
5,0,-1.801610,0.103000,2.382475,156.533844,170.393646,1212.840332,-0.002783,-0.097933,-0.034775,-58.477161,149.039246,1190.944092,,,,,,,-0.218524,-0.620245,2.404196,333.078430,385.054016,1574.616455
6,0,-1.804781,0.125605,2.407205,156.883698,170.162384,1212.929443,-0.001174,-0.098030,-0.035746,-58.281517,149.189926,1191.064453,,,,,,,-0.211415,-0.627105,2.405945,331.379944,383.540710,1577.502197
7,0,-1.805550,0.126647,2.406498,157.103531,170.205399,1213.230347,-0.000600,-0.099749,-0.034298,-58.073528,149.363373,1191.203247,,,,,,,-0.208543,-0.640288,2.402916,329.587067,381.766449,1580.647461
8,0,-1.805216,0.126860,2.404175,157.344925,170.151031,1213.435669,0.000947,-0.101417,-0.032807,-57.833534,149.545746,1191.334839,,,,,,,-0.200619,-0.649038,2.408737,327.159790,379.645172,1583.636230
9,0,-1.804464,0.127853,2.404044,157.626129,170.059555,1213.620483,0.002180,-0.102751,-0.031706,-57.588402,149.760773,1191.465210,,,,,,,-0.190427,-0.662543,2.407167,324.397308,376.901459,1586.690063
