x,y,z,p1_x,p1_y,p1_z,p2_x,p2_y,p2_z,p3_x,p3_y,p3_z
21.088461,721.876709,1264.077515,-115.096939,346.396667,1126.199341,-44.725689,295.939941,1382.35144,-229.28624,274.723358,1358.696411
23.408295,729.982361,1274.01709,-114.948051,346.361084,1126.367554,-44.586777,295.541687,1382.43042,-229.190765,274.748962,1358.920898
25.838375,737.372314,1284.667114,-115.065994,346.538849,1126.890015,-44.414162,295.219055,1382.544067,-229.111374,274.756531,1359.121826
27.899025,744.444885,1296.091431,-114.970245,346.554443,1127.044434,-44.118595,295.307526,1383.188843,-229.026627,274.750458,1359.318359
30.122805,750.163147,1307.827881,-115.22448,346.996826,1127.662231,-44.129452,294.937622,1383.140869,-228.911148,274.618927,1359.503052
31.561695,755.352905,1320.230713,-115.673073,347.759308,1128.366333,-44.01403,294.810638,1383.31897,-228.883408,274.495728,1359.77832
32.707073,759.548645,1333.217773,-115.889442,347.785858,1128.83252,-44.020077,294.721619,1383.503662,-228.87352,274.491821,1359.973145
32.957348,762.773193,1346.448853,-115.861389,347.874054,1128.927246,-43.980171,294.669861,1383.726929,-228.815445,274.616486,1360.002197
32.648201,765.058716,1360.038208,-115.799698,347.934906,1128.97229,-43.995937,294.630463,1383.941162,-228.809433,274.5672,1360.092529
31.28796,766.809448,1374.022217,-115.777222,348.026184,1129.036987,-44.095539,294.647522,1384.154419,-228.817123,274.547791,1360.182373
30.118368,767.024414,1387.935791,-115.74115,348.106171,1129.085449,-44.180294,294.663513,1384.342651,-228.803177,274.526642,1360.230103
28.522459,767.07135,1401.770142,-115.742386,348.209198,1129.147949,-43.390671,294.363037,1383.970215,-228.777863,274.520721,1360.265991
26.026472,766.484131,1415.809326,-115.717766,348.255585,1129.159302,-44.046959,294.747528,1384.791748,-228.71228,274.508087,1360.282959
23.784962,764.880859,1429.368408,-115.731857,348.336334,1129.207275,-44.125587,294.898834,1385.013184,-228.661835,274.547882,1360.309326
21.28907,762.57428,1443.040527,-115.744682,348.385254,1129.203247,-43.887856,295.290344,1385.58374,-228.576462,274.571655,1360.321533
18.583546,759.386902,1456.360596,-114.2658,347.097382,1127.077148,-43.86602,295.503357,1385.841919,-228.498093,274.619263,1360.323364
15.845524,755.372559,1469.752197,-114.354057,347.178192,1127.077637,-43.992729,295.474182,1385.660034,-228.38237,274.66449,1360.304565
12.7093,750.21875,1482.530884,-114.475365,347.300873,1127.076172,-43.945774,295.390991,1385.588745,-228.26384,274.742523,1360.279785
9.251814,744.003601,1495.229858,-114.610504,347.452576,1127.059814,-43.7742,296.052734,1385.960938,-228.134476,274.822266,1360.238525
6.204732,736.872681,1507.316284,-114.777557,347.64978,1127.03772,-43.667423,296.374512,1385.939819,-228.014267,274.912842,1360.17981
2.763235,728.421509,1518.717285,-114.948906,347.867432,1127.030151,-43.704853,296.345062,1385.62207,-227.902313,275.016083,1360.135376
-0.76924,719.738037,1529.818237,-115.120903,348.113678,1127.001221,-43.594246,296.732361,1385.735474,-227.786606,275.119751,1360.086792
-4.148958,710.24823,1539.945923,-115.300392,348.349945,1126.991455,-43.348217,296.640228,1385.429932,-227.665863,275.234161,1360.034912
-7.422661,700.304321,1549.040161,-115.490906,348.57312,1126.96521,-42.301762,296.597168,1384.594604,-227.553406,275.336548,1359.981201
-10.996821,689.81604,1557.300537,-115.6577,348.78418,1126.929443,-42.341152,297.954529,1385.328369,-227.429657,275.464081,1359.938721
-14.488559,678.912354,1564.419556,-115.809265,349.00769,1126.856567,-42.153297,298.932465,1385.210449,-227.283356,275.596405,1359.856812
-17.411509,667.718628,1570.518799,-115.963577,349.249237,1126.772095,-42.030167,299.088104,1385.214478,-227.170517,275.742615,1359.804199
