Objects
100
,,Global Angle belly_mc:belly_mc,,,,,,Global Angle left_chest_mc:left_chest_mc,,,,,,Global Angle right_chest_mc:right_chest_mc,,,,,,Global Angle right_hand_mc:right_hand_mc,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm
1,0,0.065564,-0.010367,-0.003554,-114.179886,346.305756,1129.437256,2.226171,0.919152,2.147217,-238.073456,262.988708,1375.583496,1.578669,-0.897795,1.270313,-43.593575,279.797058,1393.210938,0.358550,0.156007,1.245185,156.369492,648.168457,1642.071411
2,0,0.065310,-0.012197,-0.004486,-113.952728,346.253357,1129.542969,2.229164,0.918213,2.150886,-237.982422,262.914368,1375.809937,1.691092,-0.936534,1.511827,-43.712112,282.493622,1395.993652,0.360844,0.169990,1.242828,156.965164,649.300293,1642.662842
3,0,0.062100,-0.011917,-0.006855,-113.723083,346.148163,1129.605469,2.231873,0.917313,2.153374,-237.897629,262.844727,1376.033447,1.702483,-0.949220,1.511847,-43.720387,281.782043,1395.623901,0.351116,0.179912,1.253681,157.610306,650.307556,1643.182251
4,0,0.059716,-0.011389,-0.009288,-113.468002,346.007935,1129.682739,2.233045,0.915765,2.155373,-237.799774,262.746246,1376.214478,0.008751,-0.064937,0.044971,-46.435734,279.245972,1398.496216,0.351970,0.181655,1.252529,158.091476,650.922668,1643.947144
5,0,0.059205,-0.010860,-0.012722,-113.202644,345.845825,1129.780273,2.234444,0.914676,2.157197,-237.709366,262.668182,1376.380737,0.023113,-0.096402,0.075408,-46.434334,278.580170,1398.635132,0.352009,0.186699,1.251462,158.489090,651.254639,1644.788940
6,0,0.061741,-0.010916,-0.016075,-112.881180,345.724518,1129.950684,2.237393,0.914075,2.160183,-237.619308,262.583679,1376.522217,0.060498,-0.126018,0.109206,-46.361561,278.236908,1398.742920,0.352672,0.191312,1.252836,158.860153,651.133240,1645.835693
7,0,0.058598,-0.009115,-0.013309,-112.259178,345.638977,1129.699951,0.073538,-0.084713,0.117321,-231.401352,267.528961,1368.124390,0.054811,-0.112490,0.089943,-46.498997,277.674408,1398.720337,0.352434,0.197002,1.253546,159.252441,650.478088,1646.879395
8,0,0.058263,-0.008302,-0.019112,-112.051804,345.440521,1129.939331,0.073063,-0.086117,0.116288,-231.250641,267.415527,1368.125244,0.063458,-0.136559,0.103815,-46.402515,277.378235,1398.549561,0.359070,0.198750,1.243830,159.026306,648.972839,1648.581421
9,0,0.064045,-0.009571,-0.019845,-111.892662,345.221649,1130.126831,0.073901,-0.086149,0.116320,-231.161331,267.356964,1368.143311,0.048073,-0.108698,0.073178,-46.326324,276.825256,1398.234619,0.362103,0.199203,1.257829,159.169357,646.736633,1650.199951
10,0,0.064674,-0.009362,-0.022106,-111.734146,345.001007,1130.299072,0.072369,-0.086861,0.114915,-231.040710,267.252136,1368.104248,0.060076,-0.133186,0.096533,-46.175335,276.776642,1398.642822,0.365406,0.193261,1.262578,158.598511,643.563293,1652.325928
11,0,0.070478,-0.011654,-0.021743,-111.610725,344.769775,1130.403931,0.071532,-0.086855,0.113897,-230.956589,267.201538,1368.058228,0.047208,-0.107881,0.070527,-46.126541,276.409332,1398.225708,0.370902,0.196569,1.272795,157.590591,639.419983,1654.679565
12,0,0.074925,-0.011978,-0.020941,-111.524582,344.541473,1130.457520,0.070958,-0.086570,0.113411,-230.877151,267.189117,1368.002319,0.065787,-0.113036,0.089004,-45.939705,276.423767,1397.940552,0.387470,0.170933,1.272447,156.012711,634.133789,1656.910034
