Objects
100
,,Global Angle belly:belly,,,,,,Global Angle left_chest:left_chest,,,,,,Global Angle right_chest:right_chest,,,,,,Global Angle right_hand:right_hand,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm
1,0,,,,,,,0.132421,-0.052158,-0.030902,-63.554420,53.636227,1205.333130,-0.297882,0.215043,0.170598,145.503876,77.557991,1212.479492,-0.688289,-0.342606,1.972121,77.708031,449.429108,1490.127930
2,0,,,,,,,0.133555,-0.051465,-0.031434,-63.500271,53.768078,1205.457520,-0.298238,0.216394,0.169329,145.590561,77.474434,1212.512573,-0.686182,-0.345316,1.974088,79.067863,449.412659,1492.773315
3,0,,,,,,,0.133304,-0.050804,-0.033518,-63.462994,53.919594,1205.587280,-0.296357,0.216988,0.167282,145.628021,77.443153,1212.580811,-0.677174,-0.339261,1.971007,80.478844,449.494629,1495.194580
4,0,-0.203351,-0.228876,3.246035,56.133095,100.620766,949.809204,0.133438,-0.050196,-0.034603,-63.420959,54.050507,1205.713623,-0.296980,0.217906,0.166492,145.706863,77.378113,1212.591553,-0.670523,-0.336360,1.967036,82.387703,449.647369,1497.817383
5,0,-0.202949,-0.286249,3.242078,56.123356,101.367340,949.805420,0.133720,-0.049761,-0.035760,-63.383335,54.186646,1205.835693,-0.296147,0.218344,0.164599,145.774887,77.333214,1212.613159,-0.666212,-0.336313,1.961034,84.686195,449.949402,1500.503296
6,0,-0.203204,-0.284185,3.240964,56.130371,101.320984,949.782898,0.136663,-0.043233,-0.037132,-63.611156,54.296989,1206.285400,-0.296726,0.218472,0.164236,145.924728,77.141273,1212.551758,-0.661458,-0.338624,1.947445,87.520973,450.195435,1503.210815
7,0,-0.203311,-0.283286,3.240288,56.091675,101.284111,949.750732,0.137338,-0.042261,-0.038773,-63.543507,54.472305,1206.413940,-0.296542,0.219332,0.163410,146.044571,77.079826,1212.580444,-0.657655,-0.326077,1.939973,90.771103,450.528442,1505.817139
8,0,-0.203129,-0.281517,3.238750,56.035698,101.274307,949.736694,0.132909,-0.048214,-0.042926,-63.191570,54.629726,1206.260010,-0.294943,0.220331,0.162355,146.175278,77.040482,1212.645752,-0.647680,-0.315726,1.938581,94.463440,451.238037,1508.312256
9,0,-0.203560,-0.280479,3.238516,55.958179,101.256935,949.719727,0.132394,-0.047816,-0.044659,-63.099815,54.791630,1206.411621,-0.293075,0.222168,0.161170,146.310913,77.072380,1212.763184,-0.635673,-0.306974,1.925999,98.267921,451.894379,1510.552246
10,0,-0.203862,-0.280143,3.238421,55.872356,101.237289,949.705627,0.131554,-0.047455,-0.045618,-63.013763,54.932625,1206.553711,-0.293818,0.222200,0.160798,146.468521,77.020622,1212.830444,-0.633165,-0.312871,1.915968,103.446671,452.881104,1513.238159
11,0,-0.204752,-0.279544,3.238244,55.770317,101.189041,949.676025,0.130699,-0.046896,-0.047832,-62.955944,55.076733,1206.680054,-0.292375,0.222252,0.160137,146.543182,77.040497,1212.945313,-0.626665,-0.332646,1.895550,109.001785,453.682129,1515.870850
12,0,-0.205026,-0.278173,3.237877,55.638931,101.116943,949.640625,0.131321,-0.046281,-0.049326,-62.928020,55.206032,1206.796997,-0.291689,0.223078,0.159554,146.584549,77.024925,1212.966187,-0.613677,-0.307570,1.888193,115.307518,454.871643,1517.798706
13,0,-0.204361,-0.276261,3.237900,55.486256,101.045822,949.618164,0.131870,-0.045793,-0.050498,-62.923416,55.319569,1206.867798,-0.291040,0.224154,0.158705,146.578415,77.059807,1213.002930,-0.603248,-0.310300,1.874219,122.254013,456.205048,1519.781860
14,0,-0.203186,-0.274866,3.237756,55.321461,100.965851,949.598572,0.130574,-0.032934,-0.056422,-62.788174,55.400261,1206.682739,-0.291700,0.224593,0.158395,146.522797,77.057053,1212.995605,-0.592672,-0.297708,1.861347,129.766464,457.574310,1521.265259
15,0,-0.200002,-0.273219,3.238925,55.128197,100.883690,949.586670,0.130213,-0.033370,-0.057950,-62.876999,55.470772,1206.744507,-0.291261,0.226244,0.158272,146.419861,77.058205,1212.963501,-0.577937,-0.276019,1.852803,137.850128,459.104279,1522.153809
16,0,-0.196904,-0.271411,3.238566,54.918667,100.819168,949.579041,0.129918,-0.032900,-0.059808,-63.010769,55.539402,1206.815796,-0.291150,0.227353,0.157642,146.257629,77.133163,1212.985718,-0.576405,-0.269078,1.842762,146.726822,460.604828,1522.881714
17,0,-0.194342,-0.269802,3.238983,54.694206,100.741737,949.564941,0.129809,-0.032589,-0.061481,-63.128204,55.615215,1206.885132,-0.292382,0.227558,0.157638,146.125687,77.099663,1212.991699,-0.564843,-0.255164,1.827899,156.064148,462.417511,1523.003906
18,0,-0.191990,-0.268851,3.239458,54.453793,100.693069,949.586731,0.133979,-0.024542,-0.061951,-63.511459,55.666378,1207.250366,-0.292651,0.228315,0.156025,146.011627,77.106659,1213.066040,-0.558543,-0.236358,1.814313,165.967316,464.239166,1522.696411
19,0,-0.191533,-0.267693,3.238132,54.189354,100.629578,949.603027,0.130795,-0.045690,-0.058498,-63.524483,55.784542,1207.253540,-0.291488,0.229268,0.153988,145.951935,77.034569,1213.132080,-0.538433,-0.221002,1.796755,176.282135,466.290436,1521.538574
20,0,-0.190877,-0.267630,3.238307,53.910080,100.575394,949.639282,0.130635,-0.045831,-0.059215,-63.585213,55.867668,1207.307495,-0.290974,0.230339,0.151738,145.905350,77.018799,1213.237793,-0.533917,-0.195209,1.781035,187.146255,468.137726,1520.060547
21,0,-0.192419,-0.267909,3.238937,53.623352,100.497765,949.646423,0.130749,-0.045939,-0.060293,-63.643322,55.946621,1207.348267,-0.290188,0.231327,0.150606,145.888641,76.906364,1213.255371,-0.520460,-0.182462,1.764970,198.505753,469.992737,1517.735596
22,0,-0.195112,-0.268695,3.238689,53.348488,100.421936,949.614441,0.131032,-0.045649,-0.061847,-63.696056,56.019241,1207.390015,-0.287746,0.232233,0.148997,145.847977,76.881256,1213.290771,-0.499341,-0.168720,1.738796,209.923233,471.980927,1514.887573
23,0,-0.198429,-0.269726,3.238500,53.055817,100.332191,949.573242,0.131071,-0.045421,-0.063188,-63.765480,56.119770,1207.424438,-0.289278,0.234174,0.147799,145.807495,76.787292,1213.268799,-0.491859,-0.137876,1.726162,221.760666,473.389130,1510.916382
24,0,-0.200872,-0.271104,3.238713,52.771378,100.282211,949.532349,0.130407,-0.045629,-0.065732,-63.884922,56.235882,1207.456787,-0.289320,0.237224,0.145669,145.703049,76.707680,1213.215576,-0.476220,-0.077325,1.708904,233.440186,474.526306,1505.481445
25,0,-0.201372,-0.269397,3.238267,52.486671,100.223701,949.489868,0.130516,-0.046121,-0.066098,-64.005363,56.350410,1207.481079,-0.286516,0.239271,0.143696,145.567993,76.475548,1213.045898,-0.467613,-0.063048,1.682131,245.237518,475.802795,1499.800537
26,0,-0.197912,-0.268641,3.236901,52.176571,100.177872,949.451355,0.122960,-0.041862,-0.068112,-64.033112,56.508629,1207.271362,-0.286317,0.241100,0.141054,145.478180,76.380844,1212.996582,-0.445866,-0.011847,1.668181,256.299194,476.709869,1492.598145
27,0,-0.196694,-0.268274,3.238556,51.896820,100.138832,949.411133,0.128165,-0.036417,-0.074506,-64.080505,56.583179,1207.308472,-0.286975,0.240559,0.142390,145.451218,76.123573,1212.869019,-0.464321,-0.015585,1.652802,268.263733,478.044373,1485.525757
28,0,-0.194385,-0.267977,3.240102,51.618225,100.101265,949.385925,0.128886,-0.035353,-0.078534,-64.177673,56.709618,1207.331665,-0.289274,0.242305,0.142177,145.402756,75.985756,1212.819336,-0.461363,0.017421,1.632349,279.338013,478.882660,1476.771484
29,0,-0.193223,-0.266209,3.239832,51.356712,100.069534,949.377808,0.128891,-0.035726,-0.081280,-64.287048,56.836941,1207.334473,-0.293874,0.241832,0.143747,145.367401,75.641907,1212.650879,-0.465421,0.040647,1.608147,289.791870,479.425232,1467.121094
30,0,-0.191814,-0.263051,3.240376,51.122662,100.033630,949.384338,0.129177,-0.035252,-0.082304,-64.397652,56.940819,1207.309814,-0.294981,0.240091,0.146643,145.285294,75.380341,1212.487427,-0.477732,0.053709,1.582833,299.963348,479.701324,1456.309570
31,0,-0.191918,-0.259886,3.239190,50.931557,100.006531,949.387878,0.129137,-0.034699,-0.083148,-64.526268,57.027733,1207.299194,-0.251191,0.239580,0.160100,146.153961,73.682281,1211.753784,-0.496313,0.088555,1.570678,309.404846,480.087524,1444.483643
32,0,-0.192445,-0.257359,3.239886,50.762112,99.996803,949.387939,0.129463,-0.034019,-0.084291,-64.664734,57.104950,1207.252808,-0.311533,0.244483,0.162489,146.373505,71.650322,1209.860718,-0.508677,0.107940,1.554211,318.727844,480.285461,1431.986328
33,0,-0.193406,-0.255858,3.239388,50.626614,100.010178,949.370667,0.129283,-0.033758,-0.086507,-64.804817,57.180588,1207.213501,-0.283155,0.254326,0.139747,146.542648,71.547722,1210.088013,-0.520097,0.128832,1.543422,327.315186,480.391541,1418.583130
34,0,-0.192495,-0.255579,3.242185,50.430183,100.064896,949.473083,0.130264,-0.032976,-0.087377,-64.957199,57.266346,1207.177490,-0.310582,0.234763,0.160409,144.762421,75.718483,1212.812012,-0.533381,0.163315,1.526340,335.488007,480.127686,1404.487793
35,0,-0.189270,-0.253916,3.242426,50.394772,100.019951,949.382813,0.130664,-0.032124,-0.089756,-65.129555,57.374588,1207.164917,-0.267809,0.246896,0.139033,144.684586,74.300827,1211.880981,-0.549486,0.210065,1.507817,343.097015,479.729858,1389.286621
36,0,-0.201429,-0.252144,3.251886,50.041168,100.343376,949.732361,0.130270,-0.031280,-0.092691,-65.293144,57.499889,1207.154053,-0.274497,0.240639,0.138711,144.697922,73.426521,1211.056641,-0.566793,0.226639,1.490604,350.079834,479.303314,1373.895142
37,0,-0.201903,-0.251938,3.253412,49.959023,100.369301,949.743469,0.130115,-0.030304,-0.093981,-65.414162,57.622498,1207.140747,-0.312275,0.226776,0.149242,146.267120,70.257446,1207.750854,-0.583354,0.251976,1.478086,356.029266,478.728577,1357.917114
