Objects
100
,,Global Angle belly:belly,,,,,,Global Angle left_chest:left_chest,,,,,,Global Angle right_chest:right_chest,,,,,,Global Angle right_hand:right_hand,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm
1,0,-0.173167,-0.015963,0.088753,12.450481,-454.934418,1142.432861,0.288672,-0.084965,0.007614,-109.624313,-518.489868,1357.272095,-0.068050,0.017994,0.261970,105.537704,-489.732147,1384.596191,,,,,,
2,0,-0.173621,-0.021168,0.106696,11.030451,-455.107117,1142.434082,0.285213,-0.084292,0.011116,-110.213242,-518.704102,1357.544434,-0.095767,0.036599,0.251767,104.714607,-489.371796,1384.614502,,,,,,
3,0,-0.173114,-0.020464,0.116191,9.664865,-455.277466,1142.467163,0.284199,-0.084333,0.013422,-110.815079,-518.890137,1357.794556,-0.103584,0.044698,0.248114,103.937622,-489.049072,1384.647095,,,,,,
4,0,-0.174353,-0.019873,0.115280,8.265572,-455.602234,1142.327026,0.282814,-0.084630,0.015854,-111.454308,-519.049805,1358.068359,-0.109638,0.046554,0.253094,103.291374,-488.851501,1384.719482,-0.311473,-0.605365,1.242612,247.591339,-74.625427,1882.250366
5,0,-0.171845,-0.020107,0.117355,7.006325,-455.796265,1142.305786,0.280869,-0.083409,0.014546,-112.015182,-519.189819,1358.331177,-0.109329,0.048338,0.252298,102.705566,-488.900543,1384.619873,-0.317324,-0.589223,1.221533,260.932983,-73.686623,1877.691650
6,0,-0.170498,-0.020871,0.125814,5.799520,-455.871674,1142.390381,0.279016,-0.081937,0.012436,-112.519485,-519.269043,1358.614014,-0.108653,0.062161,0.238144,102.345207,-488.905609,1384.601196,-0.320197,-0.565051,1.201999,273.919739,-72.296082,1871.929688
7,0,-0.170085,-0.017035,0.123639,4.640789,-456.098419,1142.334351,0.277155,-0.079923,0.011101,-112.957214,-519.342712,1358.948364,-0.106336,0.066937,0.234864,102.071304,-489.040588,1384.266235,-0.323845,-0.543761,1.186310,286.239136,-70.543709,1865.041870
8,0,-0.168220,-0.018630,0.125021,3.585140,-456.318237,1142.286499,0.275626,-0.077552,0.007219,-113.316055,-519.357056,1359.310181,-0.106495,0.073982,0.229920,101.923485,-489.280212,1383.747314,-0.336024,-0.526031,1.172381,298.047516,-68.644470,1857.151855
9,0,-0.165711,-0.017674,0.126851,2.631979,-456.414001,1142.373535,0.275147,-0.074067,0.003632,-113.551521,-519.285400,1359.672119,-0.096548,0.069593,0.230547,101.774597,-489.840576,1383.034058,-0.347851,-0.511653,1.156059,309.013519,-66.100227,1848.166870
10,0,-0.166095,-0.013584,0.126392,1.765544,-456.534760,1142.365723,0.276362,-0.071326,0.000905,-113.707985,-519.172058,1359.966919,-0.105071,0.073713,0.238976,102.009453,-489.988525,1382.581299,-0.368730,-0.493756,1.151288,319.506714,-63.233749,1838.262451
11,0,-0.167110,-0.013113,0.124222,1.037010,-456.791107,1142.278931,0.300375,-0.052950,0.017496,-114.129501,-518.832092,1360.405029,-0.107186,0.083356,0.227102,102.147133,-490.518494,1382.121338,-0.383045,-0.485622,1.133205,328.942200,-59.786022,1827.178345
12,0,-0.164448,-0.015513,0.126297,0.445648,-456.998535,1142.192261,0.301632,-0.050585,0.013499,-114.225853,-518.716919,1360.633179,-0.110975,0.087690,0.225575,102.410324,-491.057129,1381.596802,-0.401567,-0.464688,1.132464,338.197876,-56.006794,1815.038818
13,0,-0.160254,-0.015136,0.126882,-0.029500,-457.178802,1142.183960,0.316847,-0.054715,0.030651,-114.986710,-518.556152,1361.427734,-0.109656,0.093410,0.221854,102.604942,-491.907104,1380.846313,-0.418992,-0.445628,1.125859,346.933350,-51.946102,1801.853027
14,0,-0.158276,-0.014491,0.127849,-0.405304,-457.384369,1142.206665,0.319075,-0.050345,0.027007,-115.040756,-518.487183,1361.531860,-0.099748,0.096571,0.211341,102.724083,-492.961731,1380.021606,-0.446140,-0.425394,1.120465,355.504089,-47.743496,1787.893066
15,0,-0.155999,-0.013095,0.123259,-0.664309,-457.664093,1142.253418,0.320957,-0.046034,0.023740,-115.074562,-518.481323,1361.578613,-0.102249,0.103981,0.203628,102.953354,-493.979431,1379.090698,-0.457860,-0.396218,1.119455,363.289185,-43.295998,1772.840454
16,0,-0.153390,-0.010917,0.118508,-0.870509,-457.962341,1142.321655,0.260702,-0.076263,-0.042850,-113.808334,-519.083252,1360.767212,-0.111354,0.109159,0.199038,103.223770,-494.348206,1378.426392,-0.487176,-0.373134,1.118484,370.709412,-38.820641,1757.257935
17,0,-0.148852,-0.009186,0.111964,-1.018373,-458.383240,1142.378540,0.255968,-0.076078,-0.048943,-113.713486,-519.163086,1360.632202,-0.126863,0.121229,0.197211,103.386726,-495.248322,1377.284302,-0.507882,-0.344056,1.113629,377.294250,-34.315060,1740.801025
18,0,-0.144350,-0.008013,0.106033,-1.140386,-458.843109,1142.433105,0.254579,-0.073654,-0.052819,-113.722702,-519.276550,1360.551758,-0.113076,0.121708,0.207582,103.727501,-496.052734,1376.576782,-0.534798,-0.323121,1.119846,383.529144,-29.684593,1724.038696
19,0,-0.142739,-0.007295,0.104337,-1.186090,-459.255798,1142.492920,0.252237,-0.072149,-0.055748,-113.776688,-519.398438,1360.446289,-0.126412,0.117409,0.194931,103.691734,-496.381683,1376.182861,-0.560778,-0.308964,1.115188,388.679443,-25.361038,1706.712646
20,0,-0.140685,-0.009213,0.104616,-1.193402,-459.730865,1142.532715,0.250191,-0.070387,-0.058129,-113.847321,-519.556763,1360.319336,-0.119662,0.103393,0.225901,103.931053,-497.713165,1375.337158,-0.590695,-0.280199,1.108836,393.442139,-20.888489,1688.677490
21,0,-0.139560,-0.012513,0.111652,-1.149498,-460.315277,1142.537842,0.247713,-0.069225,-0.059923,-113.950294,-519.735962,1360.168579,-0.109413,0.134864,0.193313,103.527946,-497.249512,1374.685181,-0.607976,-0.260118,1.109800,397.482300,-16.796083,1670.304321
22,0,-0.131804,-0.017668,0.134377,-1.000412,-461.050659,1142.446289,0.245739,-0.069542,-0.060801,-114.059761,-519.927979,1360.011597,-0.127890,0.093204,0.220280,103.302048,-497.545197,1374.715820,-0.632921,-0.239537,1.108346,401.423706,-13.125473,1651.584351
