Objects
100
,,Global Angle belly:belly,,,,,,Global Angle belly_mc:belly_mc,,,,,,Global Angle left_chest:left_chest,,,,,,Global Angle left_chest_mc:left_chest_mc,,,,,,Global Angle right_chest:right_chest,,,,,,Global Angle right_chest_mc:right_chest_mc,,,,,,Global Angle right_hand:right_hand,,,,,,Global Angle right_hand_mc:right_hand_mc,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm
1,0,-0.087761,0.120605,-1.552690,-1086.950928,-126.080666,1132.846558,0.037507,0.068126,1.436644,449.969147,-187.995941,1134.382324,0.112801,-0.274546,-1.713606,-1120.190552,-20.947521,1327.973511,0.014171,-0.029750,1.544435,516.605713,-303.170929,1386.839844,,,,,,,0.116314,0.073661,1.577789,522.639099,-115.891891,1402.617554,0.307918,-0.878442,0.586678,-988.350403,-265.889618,1411.104614,-0.395471,1.377017,2.671060,96.739235,-29.766602,1491.871582
2,0,-0.109148,0.132422,-1.536317,-1087.078857,-125.054062,1132.626343,0.042210,0.060413,1.439749,449.718048,-188.162125,1134.479614,0.094190,-0.250009,-1.647478,-1121.462158,-20.085106,1328.202393,0.015608,-0.028547,1.546120,516.451599,-303.308746,1386.764404,,,,,,,0.091502,0.063453,1.561984,521.945129,-116.462578,1403.332397,0.306699,-0.873142,0.591263,-982.254211,-265.284851,1412.152954,-0.379230,1.383761,2.682153,102.035980,-30.825409,1493.238892
3,0,-0.109128,0.136436,-1.532939,-1086.987793,-124.123497,1132.568970,0.037802,0.068696,1.437982,449.566650,-188.217972,1134.278198,0.110937,-0.249420,-1.637844,-1122.209595,-19.446346,1328.073364,0.017139,-0.027859,1.547521,516.294006,-303.489655,1386.651978,,,,,,,0.074231,0.074197,1.546869,521.308167,-116.672791,1403.351929,0.304139,-0.866010,0.597075,-975.724121,-264.623718,1413.322144,-0.370029,1.403545,2.690962,107.977570,-31.618633,1494.643677
4,0,-0.108739,0.137440,-1.519844,-1086.885986,-123.066811,1132.483154,0.039099,0.069800,1.440469,449.334686,-188.368164,1134.199341,0.115357,-0.250393,-1.626647,-1122.810669,-18.665897,1328.025391,0.016638,-0.038636,1.544747,516.154053,-303.795471,1386.309326,,,,,,,0.125239,0.090077,1.576349,520.986084,-116.780579,1403.087036,0.304434,-0.861099,0.599524,-968.779114,-263.980072,1414.647705,-0.395119,1.439408,2.707075,114.018227,-32.965225,1495.962646
5,0,-0.114088,0.133926,-1.505576,-1086.769409,-122.111168,1132.380859,0.040299,0.070350,1.444089,449.091980,-188.561798,1134.104614,0.115406,-0.249375,-1.621425,-1123.487183,-17.725012,1327.968262,0.017704,-0.037995,1.546393,516.009094,-303.993896,1386.168457,,,,,,,0.111047,0.082661,1.573667,520.589050,-116.924995,1402.833496,0.300873,-0.856434,0.602769,-961.284180,-263.170593,1416.064331,-0.392628,1.457968,2.720160,120.715599,-33.973316,1497.460693
6,0,-0.115065,0.133546,-1.489775,-1086.625854,-120.960037,1132.326904,0.046131,0.063397,1.450142,448.760468,-188.830063,1134.154297,0.111904,-0.244799,-1.614223,-1124.198120,-16.847252,1327.954590,0.018194,-0.036861,1.549309,515.848450,-304.214630,1386.005249,,,,,,,0.089624,0.073905,1.568189,520.071655,-117.185074,1402.818359,0.296288,-0.851004,0.607493,-953.245728,-262.318787,1417.718872,-0.364837,1.471860,2.736776,127.851425,-34.925453,1499.176270
7,0,-0.072637,0.085000,-1.459968,-1085.202515,-119.655632,1132.569092,0.047001,0.062857,1.453493,448.480347,-189.073013,1134.054565,0.123115,-0.258513,-1.647644,-1124.367310,-15.786624,1327.765381,0.021536,-0.024962,1.557761,515.702881,-304.362915,1386.065430,0.019895,0.326419,-1.394038,-1103.247925,-233.202713,1333.441650,0.108142,0.069540,1.581131,519.388794,-117.519127,1402.973755,0.294325,-0.844832,0.611008,-944.666321,-261.473022,1419.556885,-0.398106,1.538383,2.736902,135.460938,-36.750072,1499.762451
8,0,-0.076083,0.088077,-1.462870,-1085.309326,-118.750557,1132.500732,0.040795,0.067572,1.453946,448.226746,-189.231064,1133.835815,0.135672,-0.268593,-1.620953,-1125.086182,-14.771998,1327.830566,0.022801,-0.024613,1.561846,515.533447,-304.569336,1385.924194,0.009804,0.331511,-1.381050,-1101.690918,-232.048416,1333.416382,0.106453,0.059652,1.578833,518.752991,-117.702843,1402.933105,0.288972,-0.838149,0.614147,-935.454041,-260.561310,1421.501221,-0.373577,1.529226,2.770640,144.024826,-37.886635,1500.929199
9,0,-0.077874,0.094342,-1.447599,-1085.411621,-117.512001,1132.305664,0.040404,0.065762,1.456415,447.945831,-189.452850,1133.735352,0.116626,-0.257632,-1.612754,-1126.251221,-13.854680,1327.637695,0.023581,-0.024955,1.564727,515.333984,-304.743683,1385.795044,0.013776,0.328884,-1.369715,-1100.274780,-230.978516,1333.763550,0.098251,0.061351,1.581475,518.215332,-117.762589,1402.750122,0.284323,-0.830681,0.617306,-925.621399,-259.509338,1423.585083,-0.352776,1.538947,2.791157,152.712006,-38.668911,1502.192627
10,0,-0.080960,0.082279,-1.434389,-1085.390015,-116.414764,1132.443115,0.039503,0.062420,1.457221,447.650299,-189.635712,1133.546021,0.112959,-0.246032,-1.565284,-1127.632935,-13.046753,1327.787720,0.024254,-0.025217,1.566868,515.114136,-304.882599,1385.672607,0.005999,0.347889,-1.355911,-1098.559448,-229.390015,1333.628662,0.088873,0.064318,1.576342,517.794495,-117.956078,1402.623169,0.274017,-0.821309,0.619789,-915.166992,-258.279938,1425.762329,-0.318491,1.558247,2.785230,161.115952,-39.035282,1503.607178
11,0,-0.084336,0.088944,-1.428100,-1085.390015,-115.261200,1132.364502,0.037701,0.064261,1.457030,447.293640,-189.901016,1133.518433,0.127695,-0.251038,-1.549488,-1128.421631,-12.051053,1327.848267,0.023578,-0.026037,1.566268,514.883301,-305.007263,1385.591309,0.013263,0.338141,-1.354261,-1097.649170,-228.228378,1333.660034,0.084681,0.062535,1.579590,517.094727,-118.010437,1402.575195,0.272850,-0.813347,0.620820,-903.941467,-256.954102,1427.801636,-0.294430,1.560649,2.799095,170.380554,-39.700657,1504.603638
12,0,-0.091156,0.095562,-1.432720,-1085.770508,-114.076431,1132.487549,0.034780,0.063438,1.458343,446.982300,-190.164322,1133.420410,0.134422,-0.247999,-1.539151,-1129.602539,-11.069061,1327.857666,0.021979,-0.028404,1.564882,514.708191,-305.106323,1385.529297,0.013689,0.333589,-1.345822,-1096.302246,-226.564468,1333.591553,0.105535,0.076226,1.594148,516.459778,-117.950119,1402.216431,0.268731,-0.801661,0.619911,-892.233643,-255.647034,1430.168579,-0.280417,1.566674,2.821819,179.939102,-40.346802,1505.104126
13,0,-0.123383,0.131779,-1.478572,-1085.615845,-112.824486,1132.596558,0.032282,0.061323,1.460941,446.666809,-190.404205,1133.251709,0.125684,-0.236838,-1.607063,-1129.752441,-9.901538,1327.730835,0.020150,-0.030317,1.563475,514.505005,-305.201538,1385.470825,0.020006,0.320739,-1.332190,-1095.339233,-225.396484,1333.975342,0.101955,0.077977,1.592755,515.858948,-118.068092,1402.143677,0.264051,-0.789165,0.616996,-879.891418,-254.107330,1432.568237,-0.247365,1.551525,2.850980,189.771835,-41.015450,1505.314575
14,0,-0.121467,0.137408,-1.475485,-1085.616821,-111.567528,1132.601318,0.031560,0.065739,1.462441,446.304626,-190.544724,1132.982666,0.128511,-0.234946,-1.587948,-1131.058350,-9.030891,1327.713013,0.018663,-0.031939,1.562809,514.323975,-305.259033,1385.421631,0.001863,0.326000,-1.313539,-1093.591797,-223.914246,1334.478394,0.102158,0.081080,1.594254,515.384705,-118.151184,1401.986450,0.254188,-0.769052,0.616113,-866.786560,-252.344223,1434.811401,-0.244467,1.583106,2.852866,199.144348,-41.262024,1505.525635
15,0,-0.129666,0.129485,-1.436448,-1085.374512,-110.286934,1132.804077,0.032841,0.067990,1.465052,445.982086,-190.864273,1133.034790,0.120664,-0.235758,-1.552730,-1132.496826,-8.286267,1327.677490,0.017892,-0.031859,1.562772,514.144348,-305.302429,1385.395142,-0.001713,0.328670,-1.303262,-1092.408447,-222.513885,1334.789917,0.100883,0.081357,1.597237,514.875488,-118.126923,1401.769653,0.257659,-0.757330,0.610561,-853.112549,-250.575714,1437.032227,-0.225502,1.596461,2.863817,208.441254,-41.610497,1505.586548
16,0,-0.111228,0.112123,-1.385043,-1086.421387,-109.478645,1132.710693,0.034835,0.069119,1.469908,445.635864,-191.156815,1132.964111,0.117636,-0.225700,-1.521466,-1134.050781,-7.421255,1327.769531,0.017034,-0.031725,1.563151,513.952881,-305.346069,1385.384521,-0.005469,0.325214,-1.298531,-1091.069214,-220.990982,1335.013550,0.113487,0.082372,1.606228,514.361145,-118.163399,1401.731812,0.294539,-0.756705,0.600972,-838.755432,-249.172485,1439.032471,-0.161350,1.547393,2.919577,218.885025,-42.679169,1504.669678
17,0,-0.107921,0.111524,-1.382968,-1086.479248,-108.284271,1132.866211,0.035376,0.070407,1.473641,445.323914,-191.434067,1132.871582,0.118923,-0.223872,-1.506303,-1135.423096,-6.636930,1327.664673,0.013273,-0.033580,1.561289,513.845947,-305.389221,1385.486938,0.011477,0.297253,-1.280035,-1090.333740,-219.315048,1335.315674,0.081972,0.067245,1.590247,513.838440,-118.279572,1401.855103,0.294370,-0.729596,0.598814,-823.667175,-247.115097,1440.937622,-0.158814,1.559797,2.934655,228.232910,-42.942539,1504.181519
18,0,-0.095637,0.104115,-1.375912,-1086.710938,-107.258270,1132.835205,0.034870,0.071045,1.476759,444.981384,-191.713028,1132.770630,0.111055,-0.223455,-1.487467,-1136.722290,-5.748808,1327.701904,0.014775,-0.041847,1.559867,513.730713,-305.181366,1385.262573,0.019958,0.248516,-1.249568,-1088.584595,-217.853149,1335.991943,0.067563,0.066634,1.584205,513.312927,-118.151543,1401.657471,0.299198,-0.700925,0.599094,-807.943604,-244.773682,1442.477905,-0.146589,1.574196,2.939114,237.363495,-43.087780,1503.568726
19,0,-0.114428,0.106453,-1.351371,-1087.013428,-106.124054,1133.122925,0.035494,0.070316,1.479374,444.620300,-191.985596,1132.713745,0.119043,-0.216628,-1.471401,-1138.153687,-5.032062,1327.714966,0.015329,-0.040333,1.562496,513.513794,-305.176422,1385.225952,-0.013618,0.280705,-1.230380,-1086.678345,-216.674881,1336.711792,0.090551,0.073656,1.594309,512.862122,-118.156113,1401.537231,0.302602,-0.669030,0.598501,-791.738708,-242.556870,1443.739990,-0.136676,1.583133,2.950677,246.502731,-43.235523,1502.708984
20,0,-0.151586,0.111817,-1.342267,-1087.371094,-105.635612,1132.874756,0.036307,0.070584,1.481457,444.303528,-192.205902,1132.654541,0.115249,-0.209345,-1.476588,-1139.460693,-3.965577,1327.903076,0.023482,-0.021574,1.576777,513.013306,-305.312836,1385.185059,-0.006128,0.284329,-1.232398,-1085.742065,-215.295319,1337.096191,0.080412,0.072148,1.591774,512.388000,-118.070656,1401.288086,0.305809,-0.632344,0.592356,-775.246948,-240.231415,1444.808716,-0.100769,1.573608,2.959764,255.497391,-43.436543,1501.576904
21,0,-0.093419,0.103734,-1.326128,-1088.554565,-105.781586,1132.603394,0.037494,0.072895,1.479000,443.826721,-192.432220,1132.651611,0.115707,-0.210561,-1.464084,-1140.850342,-3.090833,1328.072388,0.023412,-0.027153,1.572352,512.934204,-305.225494,1385.265137,-0.021007,0.282917,-1.206907,-1084.021606,-213.733292,1337.875854,0.084638,0.075701,1.598421,511.899963,-118.000290,1401.192749,0.311265,-0.597300,0.587265,-758.383728,-237.837112,1445.463989,-0.094189,1.586300,2.965830,264.479523,-43.513332,1500.445801
22,0,-0.094089,0.102069,-1.317526,-1088.917236,-104.742935,1132.786255,0.039964,0.065238,1.483529,443.507111,-192.721237,1132.704468,0.110850,-0.211949,-1.444761,-1142.315308,-2.264554,1328.199707,0.022947,-0.038927,1.558374,512.965820,-305.000519,1385.243652,-0.029421,0.285663,-1.196496,-1082.795044,-212.260910,1338.520874,0.073804,0.075192,1.595928,511.493866,-117.757019,1400.915039,0.312720,-0.559964,0.576455,-741.353699,-235.409103,1445.886108,-0.082622,1.593649,2.974171,273.321289,-43.526699,1499.247437
23,0,-0.073841,0.100164,-1.292682,-1088.630615,-102.894554,1133.217041,0.038206,0.064551,1.486161,443.155823,-192.948441,1132.679199,0.115118,-0.213678,-1.440701,-1143.697754,-1.394585,1328.359741,0.023531,-0.028236,1.569394,512.509399,-304.938629,1385.087402,-0.033922,0.283849,-1.187443,-1081.684082,-210.622787,1338.951538,0.050520,0.063793,1.587815,511.214722,-117.431023,1400.787598,0.334917,-0.518793,0.560140,-723.917175,-233.216080,1445.707153,-0.069779,1.606645,2.981603,282.132446,-43.596809,1497.989014
24,0,-0.061244,0.098899,-1.305825,-1089.300781,-102.418938,1133.244507,0.037652,0.063455,1.489004,442.828491,-193.140961,1132.654663,0.110484,-0.220172,-1.375185,-1145.474976,-1.067775,1328.314209,0.026546,-0.022605,1.583328,512.155334,-304.936859,1385.099121,-0.042846,0.290995,-1.177672,-1080.151001,-209.191055,1339.955811,0.046133,0.076249,1.584792,510.699799,-117.583633,1400.724121,0.332580,-0.483191,0.552422,-706.745178,-230.744675,1445.488892,-0.058696,1.616869,2.987028,290.706177,-43.775707,1496.653931
25,0,-0.052609,0.096903,-1.304827,-1089.530396,-101.528481,1133.269287,0.037606,0.064133,1.490427,442.498138,-193.311066,1132.627808,0.108464,-0.227095,-1.345364,-1146.954834,-0.447871,1328.352783,0.020279,-0.024086,1.575734,511.955261,-304.703979,1385.013794,0.002518,0.278240,-1.194550,-1079.727783,-207.651581,1339.961792,0.076747,0.085511,1.600748,510.321136,-117.472404,1400.612183,0.329442,-0.443210,0.540830,-689.286316,-228.472244,1444.451294,-0.025237,1.569922,3.010853,299.144012,-44.695736,1494.900879
26,0,-0.087097,0.095405,-1.281814,-1089.925659,-101.033905,1133.429443,0.037650,0.065087,1.491704,442.142731,-193.486542,1132.601074,0.106036,-0.221762,-1.340785,-1148.346680,0.297742,1328.434082,0.018097,-0.025098,1.573356,511.778351,-304.564789,1385.021729,0.020215,0.265389,-1.186424,-1078.430054,-206.018585,1340.779785,0.045603,0.079090,1.588009,509.962494,-117.335838,1400.428467,0.323953,-0.406122,0.525398,-672.248047,-226.237717,1443.416626,-0.013966,1.572453,3.022937,307.482544,-45.028847,1493.599609
27,0,-0.086584,0.094700,-1.271004,-1090.107056,-100.172760,1133.523193,0.033121,0.057047,1.504996,441.581848,-193.614059,1132.609497,0.106011,-0.224785,-1.334159,-1149.788696,1.070145,1328.450195,0.018092,-0.022924,1.573661,511.631622,-304.413239,1385.037354,-0.008086,0.240015,-1.149282,-1078.255249,-204.613739,1340.644287,0.047426,0.077424,1.591652,509.572205,-117.029228,1400.137939,0.317763,-0.364866,0.511723,-655.210388,-224.193527,1441.567383,-0.005779,1.573823,3.033184,315.694885,-45.303852,1492.382080
