Objects
100
,,Global Angle belly:belly,,,,,,Global Angle belly_mc:belly_mc,,,,,,Global Angle left_chest:left_chest,,,,,,Global Angle left_chest_mc:left_chest_mc,,,,,,Global Angle right_chest:right_chest,,,,,,Global Angle right_chest_mc:right_chest_mc,,,,,,Global Angle right_hand:right_hand,,,,,,Global Angle right_hand_mc:right_hand_mc,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm
1,0,-0.462421,-0.435421,1.457578,-1172.660278,-97.744080,1145.096436,0.030320,0.034844,1.440073,352.239288,-171.484055,1131.947266,0.363798,-0.363742,-1.748195,-1229.560181,4.513959,1358.595581,-0.007707,0.024392,1.498258,412.735443,-285.910553,1393.118774,-0.752525,0.940841,1.454439,-1226.261475,-200.433258,1353.400146,0.098471,0.105546,1.595259,418.290924,-96.168015,1402.755005,-0.432836,0.163978,0.290586,-741.265808,-232.219818,1476.415649,-0.143361,1.109542,3.001779,72.264046,6.064544,1462.557495
2,0,-0.464086,-0.436392,1.463390,-1172.409912,-97.838249,1145.146729,0.027623,0.041185,1.441036,352.389832,-171.549164,1131.926025,0.365753,-0.365162,-1.749595,-1229.336792,4.396560,1358.711792,-0.005161,0.014287,1.505047,413.402893,-286.347595,1393.412964,-0.769298,0.931712,1.445883,-1226.025024,-200.387314,1353.488159,0.096359,0.104368,1.596290,418.617401,-96.426956,1402.823364,-0.424169,0.181346,0.290452,-740.808411,-233.338058,1474.509399,-0.180985,1.083967,2.992974,60.914280,6.524336,1462.201904
3,0,-0.463633,-0.437159,1.463387,-1172.137573,-97.935837,1145.186401,0.028909,0.041516,1.441525,352.501404,-171.700394,1131.993530,0.365357,-0.364398,-1.750919,-1229.050293,4.270541,1358.844238,-0.008015,0.016998,1.494789,413.861176,-286.733551,1393.504272,-0.775974,0.923332,1.433926,-1226.000244,-200.457428,1353.488037,0.086075,0.100162,1.588940,419.008453,-96.849350,1403.093750,-0.439691,0.175432,0.272841,-740.466675,-234.014633,1474.151001,-0.218296,1.081799,2.967413,49.599411,7.297256,1461.473267
4,0,0.019877,0.039288,-1.617942,-1172.187744,-101.473656,1145.053955,0.034071,0.046335,1.448213,352.653107,-171.800278,1132.165527,0.368673,-0.361897,-1.752585,-1228.727173,4.077085,1358.917603,0.013257,0.025282,1.536486,414.180145,-287.069824,1393.652832,-0.777413,0.923081,1.430072,-1225.975830,-200.627197,1353.420410,0.101117,0.102889,1.597166,419.271881,-97.129845,1403.246460,-0.432738,0.181942,0.278424,-740.909607,-234.341309,1473.313721,-0.287896,1.212575,2.885042,40.337887,5.972773,1458.247803
5,0,0.018027,0.038065,-1.618569,-1171.925537,-101.460770,1145.041748,0.036803,0.042502,1.450285,352.665924,-172.048721,1132.420654,0.377809,-0.360191,-1.777999,-1228.190918,3.978722,1359.199463,0.019889,0.031421,1.542289,414.555267,-287.327911,1393.948486,-0.801321,0.922080,1.425419,-1225.927246,-200.956558,1353.356445,0.098291,0.102647,1.595138,419.624390,-97.468704,1403.335205,-0.384795,0.194341,0.288179,-741.952820,-233.848328,1472.359985,-0.315095,1.227095,2.849361,29.304901,7.116641,1457.044067
6,0,0.017399,0.035234,-1.615021,-1171.593506,-101.394623,1145.069824,0.037185,0.042387,1.449491,352.702423,-172.210480,1132.539917,0.380688,-0.347867,-1.777490,-1227.825439,3.746702,1359.097900,0.022657,0.031923,1.547137,415.155060,-287.659241,1393.987305,-0.830437,0.920044,1.419884,-1225.750122,-201.283478,1353.286743,0.111691,0.114133,1.603314,419.951599,-97.735245,1403.216797,-0.387323,0.174905,0.288744,-743.632324,-234.092041,1472.703003,-0.345967,1.228958,2.816216,18.713802,8.063028,1455.687500
7,0,0.021100,0.031419,-1.617217,-1171.251709,-101.280251,1145.100342,0.041053,0.039761,1.450267,352.771393,-172.256393,1132.540161,0.386818,-0.347296,-1.774971,-1227.583496,3.635447,1359.153442,0.000560,0.018578,1.514795,416.081818,-287.850739,1393.535645,-0.930491,0.928682,1.395387,-1223.627075,-202.043762,1353.516846,0.111651,0.114893,1.603072,420.237183,-98.079323,1403.272461,-0.359005,0.155483,0.296144,-746.520264,-233.505020,1473.050415,-0.315657,1.121805,2.810408,6.725591,10.947861,1456.710083
8,0,0.031439,0.025807,-1.621591,-1170.803955,-101.099602,1144.976440,0.029605,0.044347,1.448596,352.790558,-172.582123,1132.952026,0.385754,-0.346953,-1.773323,-1227.306152,3.589099,1359.229370,0.002278,0.020832,1.518266,416.498871,-288.162689,1393.561279,-0.948548,0.919811,1.385958,-1223.399780,-202.042786,1353.604126,0.124050,0.105426,1.608769,420.422760,-98.540115,1403.522461,-0.353521,0.136853,0.302144,-749.882568,-233.103256,1474.103760,-0.321463,1.104299,2.795258,-2.908064,11.655672,1455.736450
9,0,0.036362,0.029534,-1.622226,-1170.456665,-100.891785,1145.082520,0.027539,0.045722,1.448688,352.828125,-172.708801,1132.991821,0.384780,-0.346664,-1.769269,-1226.980103,3.559216,1359.295776,0.004847,0.019429,1.516001,417.197723,-288.447205,1393.669556,-0.921839,0.926677,1.400502,-1222.448486,-202.080414,1353.808716,0.121832,0.120594,1.607676,420.706024,-98.889145,1403.552734,-0.345021,0.102965,0.306533,-754.363342,-232.372635,1475.181274,-0.344924,1.086861,2.775323,-11.850376,11.904938,1454.800903
