Objects
100
,,Global Angle belly:belly,,,,,,Global Angle left_chest:left_chest,,,,,,Global Angle right_chest:right_chest,,,,,,Global Angle right_hand:right_hand,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm
1,0,,,,,,,,,,,,,-0.350043,0.319953,-0.053107,217.467896,174.675430,1165.503174,,,,,,
2,0,,,,,,,,,,,,,-0.354257,0.319218,-0.053687,217.236572,174.806213,1165.091797,,,,,,
3,0,,,,,,,,,,,,,-0.426100,0.362112,-0.097116,217.443451,174.620041,1164.697388,,,,,,
4,0,,,,,,,,,,,,,-0.478100,0.390299,-0.132957,216.872223,174.362778,1163.689819,-1.209197,1.453259,1.628803,297.706360,246.634140,780.962036
5,0,,,,,,,,,,,,,-0.463380,0.391155,-0.118805,216.787994,174.455643,1163.764893,-1.156594,1.415161,1.644310,298.013519,255.912842,790.708313
6,0,,,,,,,,,,,,,-0.494122,0.400935,-0.068466,215.603790,173.678024,1163.393799,-1.107005,1.300960,1.667547,298.715698,266.803040,801.533386
7,0,,,,,,,-0.175481,-0.145621,-0.219963,2.041446,187.844025,1173.271240,-0.491596,0.389849,-0.080249,215.593277,173.667007,1163.373291,-1.100640,1.251258,1.697089,299.217346,278.356232,814.185120
8,0,,,,,,,-0.150208,-0.113481,-0.247285,2.969524,186.169388,1172.016235,-0.495172,0.391320,-0.078966,215.564590,173.761810,1163.427490,-1.077797,1.189748,1.727901,299.268158,290.700317,827.949524
9,0,,,,,,,-0.150386,-0.114071,-0.249350,2.963476,186.328659,1172.209961,-0.486780,0.370887,-0.048247,214.358078,172.873474,1162.964600,-1.057485,1.129580,1.762369,299.327911,303.883972,843.433594
10,0,,,,,,,-0.096332,-0.107597,-0.222402,4.600855,185.954727,1170.190918,-0.469120,0.367689,-0.043732,214.248154,172.855713,1163.107422,-0.994732,1.058632,1.811707,299.315979,317.355865,860.569275
11,0,,,,,,,-0.102614,-0.099155,-0.210566,4.558688,185.894577,1170.576904,-0.490225,0.377199,-0.047339,214.572037,173.144470,1163.873413,-1.008305,1.021933,1.864510,299.814148,332.595428,880.133911
12,0,,,,,,,-0.119544,-0.087518,-0.251808,4.855199,186.547913,1170.509644,-0.468764,0.361574,-0.039390,214.492615,172.985397,1163.993286,-0.967285,0.940452,1.896433,299.869171,346.399933,899.767700
13,0,,,,,,,-0.099503,-0.101604,-0.213741,4.782374,186.185059,1171.011841,-0.486186,0.389210,-0.096746,215.712677,174.067688,1165.072266,-0.904203,0.859604,1.912967,299.754913,360.509735,920.877625
14,0,,,,,,,-0.098641,-0.103087,-0.215713,4.917058,186.314102,1171.213501,-0.457514,0.385795,-0.060568,215.123611,173.460495,1165.243530,-0.845436,0.779421,1.930406,300.050079,374.235840,943.216431
15,0,,,,,,,-0.097058,-0.103306,-0.217765,5.035983,186.382919,1171.389404,-0.459238,0.378424,-0.060070,215.286560,173.486343,1165.811279,-0.805101,0.700913,1.954166,300.332520,387.370117,966.131653
16,0,,,,,,,-0.089026,-0.112754,-0.227358,5.261535,186.580566,1171.383911,-0.461792,0.370409,-0.041947,215.794220,173.894958,1166.740479,-0.793369,0.617118,1.970299,300.482544,399.998199,989.293213
17,0,,,,,,,-0.095612,-0.104362,-0.220582,5.191943,186.406219,1171.711670,-0.445965,0.378169,-0.066831,215.506088,173.428528,1166.782471,-0.756120,0.534445,1.987946,300.540771,412.090057,1012.846008
18,0,,,,,,,-0.095409,-0.105561,-0.220341,5.196241,186.361603,1171.878052,-0.446591,0.374514,-0.062113,215.650085,173.546494,1167.367065,-0.720933,0.472845,2.004407,300.511505,423.308563,1036.096436
19,0,,,,,,,-0.094721,-0.105772,-0.219165,5.154192,186.261093,1172.041748,-0.434813,0.385739,-0.076320,215.154495,173.111954,1167.249512,-0.673467,0.419765,2.015349,300.598572,433.545807,1058.865601
20,0,,,,,,,-0.093916,-0.107263,-0.216198,5.036833,186.135635,1172.233643,-0.443627,0.373039,-0.060257,215.375259,173.544678,1168.202637,-0.657633,0.331076,2.020372,300.451141,443.795441,1082.032593
21,0,,,,,,,-0.092789,-0.108227,-0.213384,4.823139,186.006149,1172.503174,-0.446641,0.365257,-0.043354,215.342453,173.884857,1168.828125,-0.642108,0.252130,2.030919,300.005829,453.178253,1104.234985
22,0,,,,,,,-0.090829,-0.110154,-0.210365,4.589472,185.838577,1172.748901,-0.424171,0.327527,-0.022296,214.037796,172.739120,1168.271851,-0.624378,0.181473,2.026471,299.316711,461.925293,1126.065552
23,0,,,,,,,-0.090385,-0.110445,-0.208971,4.299645,185.679092,1173.037231,-0.417974,0.328978,-0.011678,213.779877,172.845520,1168.714478,-0.621599,0.102138,2.015778,298.409363,470.364349,1147.385010
24,0,,,,,,,-0.126779,-0.127140,-0.240756,4.061469,184.805511,1173.210815,-0.415660,0.329159,-0.014697,213.411560,172.956451,1169.162598,-0.625953,0.036499,2.024155,297.533447,478.690460,1167.778320
25,0,,,,,,,-0.120996,-0.125908,-0.241688,3.714505,184.636597,1173.493042,-0.417333,0.329284,-0.012145,213.072266,173.192490,1169.491577,-0.623258,-0.038471,2.008218,296.016388,486.227417,1187.417114
26,0,,,,,,,-0.117405,-0.125096,-0.240854,3.382832,184.353561,1173.738281,-0.425105,0.334858,-0.014989,212.581543,173.135544,1169.537476,-0.622952,-0.097862,1.997328,294.630646,493.718597,1205.866455
27,0,,,,,,,-0.116582,-0.125498,-0.237279,3.100650,184.018280,1173.923828,-0.411307,0.323646,-0.006577,212.457153,173.694214,1169.975220,-0.616494,-0.165689,1.966311,292.895721,500.907288,1223.234619
28,0,,,,,,,-0.118699,-0.126065,-0.230927,2.760658,183.739212,1174.180420,-0.418169,0.333785,-0.005296,212.038742,174.020676,1170.292480,-0.625601,-0.214461,1.946661,291.175201,508.110596,1239.726685
29,0,,,,,,,-0.120031,-0.128522,-0.222893,2.362699,183.528564,1174.481201,-0.417146,0.323667,-0.003611,211.773926,174.319595,1170.856567,-0.633262,-0.265874,1.920283,289.327148,515.540955,1255.125488
30,0,,,,,,,-0.116290,-0.131533,-0.217268,2.016876,183.243240,1174.654663,-0.418440,0.321956,-0.000523,211.472015,174.662033,1171.355103,-0.647107,-0.301834,1.902287,287.571991,523.082703,1269.480225
31,0,,,,,,,-0.112215,-0.132664,-0.213686,1.744751,182.932709,1174.798340,-0.423741,0.330798,-0.005360,210.828812,174.682907,1171.512207,-0.654036,-0.351522,1.877030,285.586975,530.945435,1282.871704
32,0,,,,,,,-0.107838,-0.131744,-0.212353,1.476146,182.641495,1174.976685,-0.426625,0.312775,0.024539,211.048111,175.674484,1172.587891,-0.669104,-0.384061,1.849654,283.889893,538.696289,1294.787964
33,0,,,,,,,-0.105888,-0.130146,-0.212695,1.141876,182.401581,1175.218384,-0.428593,0.307294,0.033588,210.593826,175.964035,1173.044922,-0.685128,-0.411899,1.826616,282.138947,546.772278,1305.845581
34,0,,,,,,,-0.105940,-0.129503,-0.212728,0.905687,182.085556,1175.344971,-0.439404,0.319353,-0.002079,210.232330,176.190598,1173.234375,-0.698287,-0.432753,1.803953,280.718994,555.227844,1315.598999
35,0,,,,,,,-0.105995,-0.131015,-0.211946,0.611804,181.803955,1175.496460,-0.471594,0.319373,0.021871,210.718842,177.817520,1175.089600,-0.717096,-0.454544,1.780845,278.999023,563.451050,1324.608521
36,0,,,,,,,-0.105373,-0.134362,-0.206828,0.331957,181.513092,1175.617310,-0.466672,0.319736,0.022347,210.515488,178.100433,1175.768433,-0.736382,-0.464555,1.753911,277.829803,571.798157,1332.274170
37,0,,,,,,,-0.103126,-0.139284,-0.196405,0.082901,181.225128,1175.763062,-0.460045,0.331449,0.022715,210.484146,179.132721,1176.750977,-0.760637,-0.471453,1.725696,276.570618,580.562561,1339.047241
38,0,,,,,,,-0.091871,-0.131780,-0.195128,0.017156,180.598297,1175.675049,-0.484337,0.318122,0.023537,209.849991,178.288284,1176.595703,-0.787984,-0.467755,1.701065,275.666595,588.943787,1344.304443
39,0,,,,,,,-0.099606,-0.144494,-0.180841,-0.307159,180.623764,1175.916870,-0.457827,0.298252,0.051659,209.658752,179.420700,1177.786987,-0.814223,-0.473397,1.672999,275.077118,597.475525,1348.632080
40,0,2.116492,-0.134039,1.842975,85.506340,218.098541,962.184326,-0.101634,-0.145528,-0.179941,-0.453997,180.358078,1175.941406,-0.464247,0.309718,0.038251,209.491302,179.774628,1178.614868,-0.852912,-0.489998,1.633042,274.271118,605.397400,1352.316162
41,0,2.118523,-0.137399,1.845150,85.466545,218.321045,962.229065,-0.114523,-0.152987,-0.175274,-0.718374,180.332047,1176.044800,-0.462067,0.296782,0.037526,209.044525,180.095749,1179.204956,-0.887594,-0.479450,1.609466,273.986267,613.313965,1354.544556
