Objects
100
,,Global Angle belly:belly,,,,,,Global Angle left_chest:left_chest,,,,,,Global Angle right_chest:right_chest,,,,,,Global Angle right_hand:right_hand,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ
Unnamed: 0,Unnamed: 1,rad,rad.1,rad.2,mm,mm.1,mm.2,rad.6,rad.7,rad.8,mm.6,mm.7,mm.8,rad.12,rad.13,rad.14,mm.12,mm.13,mm.14,rad.18,rad.19,rad.20,mm.18,mm.19,mm.20
1,0,,,,,,,0.098377,-0.208392,-1.570647,-1147.250488,24.21632,1327.82312,-0.016259,0.310583,-1.334375,-1114.068481,-190.976135,1335.28772,0.213225,-0.582088,0.512045,-798.73175,-224.039719,1458.459961
2,0,,,,,,,0.092086,-0.20548,-1.55221,-1147.335815,25.032793,1327.405151,-0.002609,0.322309,-1.334314,-1112.613892,-190.042419,1335.290527,0.201923,-0.565803,0.502195,-784.35022,-223.155396,1459.976929
3,0,,,,,,,0.088981,-0.202732,-1.53825,-1147.460083,25.8624,1327.001465,-0.010152,0.322645,-1.333351,-1110.703369,-188.669891,1334.999023,0.189891,-0.548527,0.491489,-769.430237,-222.455597,1461.411133
4,0,-2.486784,2.793502,-1.871474,-1113.915405,-69.268066,1135.543335,0.100353,-0.200622,-1.499258,-1147.828491,26.236917,1326.595215,0.007558,0.321281,-1.341531,-1108.922974,-187.228134,1334.579224,0.177477,-0.526948,0.481288,-754.011047,-221.772812,1462.635864
5,0,-2.401961,2.837366,-1.809553,-1118.795288,-71.042351,1133.293213,0.096428,-0.193165,-1.490371,-1148.030396,27.08926,1326.287598,-0.026517,0.345881,-1.308902,-1106.675781,-186.191833,1334.550049,0.170224,-0.505294,0.468224,-737.980835,-221.296432,1463.552734
6,0,-2.461906,2.814463,-1.775554,-1121.095825,-71.850769,1134.10498,0.094004,-0.183722,-1.485184,-1148.233521,27.876337,1326.074463,-0.038828,0.360018,-1.2967,-1104.715942,-184.807388,1334.548096,0.176488,-0.477041,0.462847,-721.133423,-220.946381,1463.826294
7,0,-0.251484,0.243268,-1.415651,-1120.88562,-80.265816,1121.674316,0.085822,-0.17749,-1.476345,-1148.465332,28.592859,1325.875366,-0.046453,0.374681,-1.304959,-1103.154541,-183.950867,1333.400024,0.170095,-0.435653,0.459255,-704.009521,-220.720963,1464.189453
8,0,-0.261186,0.242792,-1.395603,-1121.604858,-79.542221,1121.388428,0.07934,-0.17418,-1.462152,-1148.817261,29.224598,1325.640625,-0.062946,0.375421,-1.291994,-1101.551147,-182.875534,1333.338013,0.18251,-0.400758,0.452624,-686.409668,-220.810349,1463.704834
9,0,-0.263579,0.24934,-1.388481,-1122.529663,-79.163902,1120.988159,0.07977,-0.171113,-1.444544,-1149.23877,29.815365,1325.437988,-0.062037,0.392163,-1.289591,-1100.281006,-181.84729,1332.77002,0.192804,-0.364803,0.447157,-668.724182,-220.896515,1462.755615
