Objects
100
,,Global Angle belly:belly,,,,,,Global Angle left_chest:left_chest,,,,,,Global Angle right_chest:right_chest,,,,,,Global Angle right_hand:right_hand,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ
Unnamed: 0,Unnamed: 1,rad.3,rad.4,rad.5,mm.3,mm.4,mm.5,rad.9,rad.10,rad.11,mm.9,mm.10,mm.11,rad.15,rad.16,rad.17,mm.15,mm.16,mm.17,rad.21,rad.22,rad.23,mm.21,mm.22,mm.23
1,0,,,,,,,-0.011825,-0.032357,1.46513,500.147827,-285.420959,1384.431274,0.153764,0.069138,1.543176,521.732056,-98.812119,1397.415527,-0.087955,0.887792,3.117732,200.074509,-60.461224,1480.88562
2,0,,,,,,,0.001241,-0.023092,1.486901,500.533875,-285.788544,1384.437866,0.130378,0.065184,1.526779,522.376831,-99.388496,1397.832886,-0.047887,0.921812,3.051206,184.92952,-61.410072,1482.841064
3,0,,,,,,,0.002946,-0.024757,1.4719,501.306305,-286.128387,1384.883301,0.126524,0.046082,1.534896,522.489563,-100.258705,1398.612793,-0.08725,0.940142,3.004357,172.763885,-63.743256,1482.615479
4,0,-0.001422,0.042352,1.393861,449.039795,-175.745911,1131.608521,-0.0021,-0.029172,1.48069,502.24942,-286.670715,1385.025146,0.13054,0.046132,1.533535,522.946533,-100.82312,1398.816895,-0.099444,0.913721,2.984136,158.426743,-64.423698,1483.324951
5,0,-0.001587,0.044126,1.393381,449.146149,-175.989227,1131.728882,0.000302,-0.018885,1.484301,502.764709,-287.234497,1385.092896,0.111042,0.062941,1.515125,523.473511,-101.177788,1398.713623,-0.192736,0.955959,2.954854,144.440292,-65.616768,1482.937866
6,0,-3e-06,0.046179,1.3932,449.269318,-176.220718,1131.831665,0.011027,-0.016245,1.48955,503.289703,-287.600037,1385.70166,0.098832,0.063531,1.510552,523.765686,-101.602798,1398.741089,-0.236238,0.947286,2.942408,130.327377,-65.955322,1482.459961
7,0,0.00101,0.046525,1.392612,449.389923,-176.464462,1131.923096,0.008,-0.022231,1.477021,504.011322,-288.246796,1385.621216,0.129686,0.074565,1.525695,523.857971,-102.318489,1399.103149,-0.285739,0.984732,2.908533,116.714638,-65.126144,1481.728027
8,0,0.008117,0.039667,1.395756,449.425446,-176.80957,1132.170654,0.000298,-0.02958,1.502003,505.390991,-289.0867,1385.620117,0.099354,0.063275,1.510349,523.92627,-102.932938,1399.214111,-0.324313,0.990652,2.883485,103.950165,-64.515244,1480.506226
9,0,0.005731,0.047921,1.392978,449.585144,-177.042236,1132.096069,-0.005546,-0.038912,1.480922,506.153351,-289.919708,1385.551025,0.115244,0.069923,1.527382,524.260193,-103.278755,1398.703979,-0.366228,1.005498,2.852602,91.972832,-63.665115,1479.276001
10,0,0.00747,0.047329,1.392972,449.645325,-177.358688,1132.171875,-0.003761,-0.027866,1.479061,506.697906,-290.373169,1386.186768,0.127985,0.07335,1.533375,523.99408,-104.335426,1399.133545,-0.383427,0.985714,2.826075,81.097076,-62.61441,1478.091309
11,0,0.002839,0.047577,1.390136,449.563446,-177.832443,1132.433716,0.007524,-0.022394,1.524057,507.520691,-291.465698,1386.271729,0.140054,0.102887,1.543255,523.635254,-105.202293,1399.143555,-0.407226,0.968882,2.801036,71.285614,-61.520161,1476.757813
12,0,0.014045,0.055163,1.394773,449.387573,-178.281281,1132.681519,0.002309,-0.025333,1.524352,508.398163,-292.211761,1386.307251,0.132374,0.088292,1.546854,523.347473,-105.967339,1399.209595,-0.417284,0.957384,2.779758,62.476673,-60.089294,1475.153931
13,0,0.013192,0.055137,1.394693,449.319519,-178.744141,1132.778564,0.002709,-0.025188,1.529959,509.103607,-293.250092,1386.48584,0.126827,0.087935,1.546859,522.77478,-107.164726,1399.646851,-0.435488,0.942075,2.747989,54.953926,-58.332508,1473.455566
14,0,0.008533,0.036203,1.398536,449.39566,-179.105942,1132.631592,0.015496,-0.018125,1.550137,509.7034,-294.365051,1386.819214,0.124262,0.082221,1.553112,522.541016,-107.800133,1399.345337,-0.457345,0.933186,2.718737,48.521652,-56.294796,1471.318115
15,0,0.008701,0.035631,1.398364,449.218964,-179.591324,1132.723755,0.016149,-0.018447,1.558173,510.47052,-295.39447,1386.974731,0.124106,0.082239,1.560427,521.979065,-108.922508,1399.707642,-0.481616,0.943796,2.678579,42.87825,-54.091473,1468.997681
