Objects
100
,,Global Angle belly:belly,,,,,,Global Angle left_chest:left_chest,,,,,,Global Angle right_chest:right_chest,,,,,,Global Angle right_hand:right_hand,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ
Unnamed: 0,Unnamed: 1,rad.3,rad.4,rad.5,mm.3,mm.4,mm.5,rad.9,rad.10,rad.11,mm.9,mm.10,mm.11,rad.15,rad.16,rad.17,mm.15,mm.16,mm.17,rad.21,rad.22,rad.23,mm.21,mm.22,mm.23
1,0,0.024366,0.063712,1.587684,409.616516,-224.660629,1133.059082,0.028526,-0.026041,1.649221,486.800568,-327.922394,1379.717407,0.028456,0.094283,1.669701,467.66153,-141.295288,1394.42981,0.007139,1.566835,2.980394,345.583649,-71.875961,1484.226685
2,0,0.025527,0.066447,1.586024,409.394806,-224.372055,1133.076538,0.027392,-0.025906,1.646033,486.564423,-327.466187,1379.737549,0.055713,0.105643,1.678017,468.030243,-140.886597,1394.369629,0.007532,1.566105,2.984317,348.742798,-72.1436,1483.286499
3,0,0.018871,0.060257,1.594309,409.519043,-224.038208,1133.060669,0.026566,-0.025005,1.643398,486.323608,-327.025574,1379.790283,0.059167,0.110833,1.67618,468.382324,-140.48143,1394.244873,-0.032272,1.586059,2.989816,350.588776,-72.292732,1482.542114
4,0,0.020727,0.062234,1.592049,409.33551,-223.64621,1133.119385,0.027028,-0.02577,1.63935,486.121124,-326.593811,1379.854492,0.070833,0.116784,1.678033,468.908386,-139.96611,1394.061035,-0.014882,1.587071,2.96782,351.17276,-72.308632,1482.089844
5,0,0.022892,0.063237,1.591044,409.198761,-223.226944,1133.219971,0.0276,-0.023766,1.636957,485.9086,-326.20517,1379.98584,0.070008,0.115049,1.671337,469.382324,-139.557892,1394.065552,-0.016191,1.585874,2.967743,351.110046,-72.460068,1481.785156
6,0,0.022936,0.062798,1.589177,409.106384,-222.761337,1133.313721,0.026944,-0.022137,1.63253,485.727386,-325.747986,1380.075439,0.063206,0.109448,1.661845,469.796661,-139.202789,1394.193848,-0.024996,1.586137,2.971053,350.358978,-72.449928,1481.911133
7,0,0.032401,0.071528,1.574488,408.607635,-222.435455,1133.384644,0.025852,-0.022659,1.626244,485.61908,-325.30545,1380.151855,0.035314,0.11972,1.653626,470.335144,-138.236557,1393.915405,-0.023609,1.593071,2.980915,349.055023,-72.276825,1482.245117
8,0,0.032683,0.072146,1.572321,408.581268,-221.864929,1133.512817,0.02606,-0.020919,1.624175,485.533264,-324.902985,1380.248535,0.05154,0.113368,1.652605,470.765808,-137.981812,1394.075073,-0.038579,1.605924,2.972883,346.660339,-71.813553,1482.682617
9,0,0.032418,0.072863,1.569333,408.593475,-221.304306,1133.611206,0.024788,-0.008305,1.625975,485.588348,-324.376007,1380.168457,0.041803,0.107097,1.648755,471.288605,-137.59343,1394.196167,-0.014974,1.571451,2.976835,343.629059,-71.714867,1483.108887
10,0,0.033825,0.073228,1.565674,408.622803,-220.752731,1133.715088,0.011208,-0.030511,1.609601,485.825623,-324.020233,1379.935791,0.071208,0.10721,1.661789,472.096405,-136.60173,1393.63916,0.074926,1.433116,2.998963,340.041748,-72.576904,1482.89917
11,0,0.034159,0.075385,1.562042,408.626068,-220.196426,1133.831543,0.027209,-0.016228,1.620802,485.561279,-323.830688,1380.481201,0.076163,0.112016,1.669115,472.565094,-136.224869,1393.721436,0.078472,1.424993,2.992069,335.443298,-72.067413,1483.35498
12,0,0.034628,0.075594,1.557469,408.640594,-219.557892,1133.981323,0.027848,-0.015628,1.618695,485.602661,-323.574707,1380.561523,0.069217,0.11051,1.668686,473.325745,-135.674271,1393.88269,0.071686,1.429137,2.985109,330.234955,-71.27774,1483.938599
13,0,0.035888,0.077896,1.551767,408.663086,-218.992233,1134.12439,0.028768,-0.016396,1.615093,485.659454,-323.320038,1380.654785,0.070145,0.108115,1.656984,473.700073,-135.772186,1393.931641,0.059099,1.435295,2.978565,324.330658,-70.532707,1484.492798
