Objects
100
,,Global Angle belly:belly,,,,,,Global Angle left_chest:left_chest,,,,,,Global Angle right_chest:right_chest,,,,,,Global Angle right_hand:right_hand,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm
1,0,,,,,,,0.011568,-0.061430,-0.056867,-28.129343,142.126938,1193.901855,,,,,,,-0.367816,-0.882404,2.809382,211.171295,260.231659,1457.529419
2,0,,,,,,,0.011128,-0.062329,-0.059692,-27.920750,142.100845,1193.873901,,,,,,,-0.371630,-0.851735,2.834857,204.613953,262.001740,1445.456909
3,0,,,,,,,0.012388,-0.062362,-0.061089,-27.762814,142.008713,1193.827881,,,,,,,-0.401152,-0.806677,2.870195,198.145950,264.476868,1433.129150
4,0,-0.462552,-0.117675,0.054069,96.167511,172.889023,947.512451,0.012108,-0.062409,-0.061898,-27.677128,141.866318,1193.772095,,,,,,,-0.420315,-0.774069,2.902943,191.445618,267.319061,1420.244507
5,0,-0.452848,-0.117807,0.064018,96.479927,173.260300,947.506165,0.013714,-0.060598,-0.062949,-27.675369,141.681488,1193.712646,,,,,,,-0.446520,-0.717807,2.935794,184.972794,270.449493,1406.814209
6,0,-0.460246,-0.115048,0.048864,96.607750,172.964188,947.615356,0.014532,-0.058980,-0.061577,-27.758036,141.431442,1193.680298,,,,,,,-0.481146,-0.684084,2.964347,178.552368,274.167572,1393.449341
7,0,-0.452164,-0.117924,0.058654,96.961510,173.152573,947.464722,0.014547,-0.057525,-0.060784,-27.906313,141.149551,1193.670776,,,,,,,-0.502857,-0.650646,2.975228,172.085129,278.058258,1379.587402
8,0,-0.456774,-0.112306,0.044613,96.929611,173.022415,947.763428,0.014892,-0.057499,-0.059702,-28.121916,140.869476,1193.687744,,,,,,,-0.529908,-0.616025,2.993110,165.666443,282.069122,1365.710693
9,0,-0.455897,-0.110989,0.043179,97.052139,173.037842,947.827148,0.014673,-0.055798,-0.060879,-28.358334,140.472321,1193.669556,,,,,,,-0.558983,-0.586162,2.999761,159.568924,286.077362,1351.856079
10,0,-0.455052,-0.110475,0.041575,97.172577,173.054230,947.919128,0.015794,-0.055137,-0.063464,-28.637871,140.101837,1193.623901,0.426023,-0.214051,0.224623,188.251068,155.530975,1185.089844,-0.584960,-0.557392,3.009978,153.744812,290.365234,1338.320801
11,0,-0.453650,-0.110934,0.040710,97.269470,173.039520,947.997070,0.014798,-0.053575,-0.060336,-28.982225,139.596268,1193.661987,,,,,,,-0.640239,-0.527058,3.018807,147.910645,294.834991,1325.494629
12,0,-0.453964,-0.112296,0.040361,97.363647,172.972534,948.098206,0.017317,-0.053295,-0.059207,-29.296482,139.091858,1193.649292,,,,,,,-0.679657,-0.498013,3.025658,142.836136,299.308716,1313.174194
