Objects
100
,,Global Angle belly:belly,,,,,,Global Angle left_chest:left_chest,,,,,,Global Angle right_chest:right_chest,,,,,,Global Angle right_hand:right_hand,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm
1,0,-0.155891,-0.014163,0.055230,165.022675,-719.827209,1145.675293,0.303305,-0.048916,-0.143109,52.792141,-758.037720,1374.264038,,,,,,,-0.653225,-0.714533,1.478620,416.864777,-430.969299,1694.267090
2,0,-0.157750,-0.013777,0.054912,165.161255,-719.722900,1145.698364,0.302927,-0.049957,-0.142336,52.780914,-757.941284,1374.237305,,,,,,,-0.640484,-0.714957,1.479410,414.926208,-434.450867,1699.881470
3,0,-0.159594,-0.013961,0.055650,165.266693,-719.605042,1145.713623,0.302286,-0.050989,-0.142507,52.751194,-757.835327,1374.212769,,,,,,,-0.621227,-0.732979,1.482098,413.148529,-438.261078,1705.187744
4,0,-0.160912,-0.013832,0.053261,165.362640,-719.474731,1145.729980,0.302544,-0.051116,-0.142927,52.691906,-757.721741,1374.202515,,,,,,,-0.612886,-0.726176,1.487879,410.748291,-442.391724,1710.164185
5,0,-0.162544,-0.013952,0.053332,165.416397,-719.341980,1145.750732,0.302798,-0.051347,-0.142695,52.633167,-757.622375,1374.194092,,,,,,,-0.595860,-0.740059,1.492467,408.428497,-446.637665,1714.920776
6,0,-0.164337,-0.014396,0.052467,165.449173,-719.214966,1145.758423,0.303438,-0.051708,-0.141011,52.551540,-757.508972,1374.179321,,,,,,,-0.580611,-0.749140,1.499504,405.770050,-451.225708,1719.116699
7,0,-0.165590,-0.014328,0.050918,165.453369,-719.074646,1145.752930,0.280297,-0.069042,-0.162859,54.272789,-758.185852,1372.282837,-0.037338,0.136991,0.143272,275.748657,-756.767273,1382.971069,-0.563047,-0.762366,1.506338,403.153656,-455.931519,1722.973145
8,0,-0.166900,-0.014457,0.048814,165.428040,-718.940674,1145.749390,0.274835,-0.075462,-0.167974,54.135174,-758.141418,1372.352173,-0.064509,0.150495,0.130978,275.487915,-757.121704,1383.250244,-0.555437,-0.768384,1.512267,399.943481,-461.201111,1726.199707
9,0,-0.167995,-0.014527,0.046684,165.367737,-718.830811,1145.729370,0.283054,-0.088737,-0.148619,54.229408,-758.059326,1372.093262,-0.059072,0.147743,0.120227,275.324127,-757.149170,1383.395508,-0.527790,-0.792865,1.516388,396.676697,-466.436035,1728.723022
10,0,-0.168848,-0.014891,0.045869,165.280563,-718.733643,1145.689331,0.279229,-0.088630,-0.127758,54.154732,-758.121704,1372.112183,-0.055134,0.144487,0.117048,275.130219,-757.092224,1383.452637,-0.511283,-0.824912,1.516214,393.100677,-472.043518,1730.637451
11,0,-0.169132,-0.014878,0.044423,165.174774,-718.671692,1145.628296,0.272644,-0.079800,-0.127810,54.137089,-757.929077,1371.852295,-0.054976,0.143776,0.116189,274.925873,-757.027466,1383.467651,-0.498284,-0.837146,1.523381,389.262817,-477.988007,1732.150635
12,0,-0.170161,-0.015785,0.043826,165.036026,-718.597961,1145.580566,0.297025,-0.069675,-0.131434,54.004227,-758.016052,1371.950195,-0.059565,0.148363,0.111911,274.757111,-756.886292,1383.469482,-0.481188,-0.863469,1.523680,385.283447,-484.041992,1732.995239
13,0,-0.170378,-0.016362,0.044012,164.870895,-718.556519,1145.497314,0.301096,-0.069010,-0.133009,53.806664,-757.868164,1371.936768,-0.024850,0.158320,0.068692,274.047821,-757.490845,1382.903320,-0.473147,-0.884303,1.529361,380.946381,-490.384552,1733.297485
14,0,-0.169825,-0.017333,0.044718,164.698822,-718.511475,1145.431274,0.299140,-0.070905,-0.132455,53.582584,-757.626892,1371.877075,-0.036144,0.159072,0.079359,273.946075,-757.356567,1382.871948,-0.463303,-0.912912,1.534111,376.211395,-497.025482,1732.961426
15,0,-0.170489,-0.017631,0.044522,164.507126,-718.446716,1145.371460,0.299305,-0.069065,-0.144767,53.274399,-757.292725,1371.853271,-0.020962,0.145792,0.092137,273.546448,-757.835571,1382.497192,-0.447671,-0.937840,1.552318,371.690521,-503.671692,1731.971558
16,0,-0.170475,-0.017468,0.043741,164.317154,-718.401306,1145.309570,0.299445,-0.068080,-0.150148,53.029003,-756.983826,1371.804077,-0.011826,0.141277,0.090739,273.319611,-757.802734,1382.453857,-0.443841,-0.958076,1.552630,366.645447,-510.421326,1730.509766
17,0,-0.170536,-0.017319,0.043446,164.100677,-718.336243,1145.241333,0.295905,-0.070938,-0.144774,52.806282,-756.687988,1371.729614,-0.012076,0.142253,0.089211,273.101196,-757.777466,1382.377075,-0.437208,-0.981150,1.564195,361.442657,-517.109009,1728.361206
18,0,-0.170213,-0.016314,0.041101,163.888733,-718.265808,1145.185059,0.294711,-0.072667,-0.141887,52.612904,-756.395813,1371.686523,-0.012254,0.144197,0.085789,272.909180,-757.786133,1382.279419,-0.434875,-0.996217,1.578827,356.286377,-523.897522,1725.508423
19,0,-0.170265,-0.014996,0.039791,163.654175,-718.192932,1145.130371,0.295031,-0.071843,-0.143433,52.413921,-756.089844,1371.660767,-0.012608,0.145645,0.082646,272.719299,-757.830200,1382.129517,-0.427079,-1.025615,1.580902,351.140320,-530.846863,1722.274170
20,0,-0.170560,-0.013526,0.037894,163.423553,-718.145386,1145.071655,0.295040,-0.070970,-0.147428,52.234989,-755.788696,1371.631958,-0.011674,0.146756,0.078983,272.537964,-757.913635,1381.954224,-0.424909,-1.034546,1.596901,345.749725,-537.780640,1718.255371
21,0,-0.170979,-0.013063,0.037771,163.202011,-718.138916,1144.986450,0.292594,-0.070303,-0.155229,52.027187,-755.434631,1371.612671,-0.011388,0.146291,0.077572,272.352417,-758.089966,1381.717041,-0.422267,-1.053882,1.611595,340.248779,-544.772888,1713.818726
22,0,-0.171216,-0.013187,0.037981,162.980438,-718.147949,1144.892212,0.289955,-0.069976,-0.160431,51.875454,-755.077026,1371.530029,-0.027594,0.137484,0.111311,272.496613,-757.656189,1381.714233,-0.420617,-1.077697,1.623012,334.616455,-551.714172,1708.865234
23,0,-0.171122,-0.012680,0.035551,162.763519,-718.184509,1144.780640,0.288783,-0.071642,-0.161803,51.728355,-754.702454,1371.407715,-0.006827,0.143422,0.073239,272.033661,-758.517639,1381.108276,-0.423914,-1.102703,1.632378,328.826447,-558.748657,1703.498047
24,0,-0.171291,-0.012764,0.034391,162.520569,-718.207153,1144.673218,0.283983,-0.074274,-0.160413,51.550732,-754.319336,1371.293579,0.006021,0.147201,0.054946,271.742737,-758.991089,1380.563965,-0.425976,-1.125364,1.650269,323.334442,-565.756348,1697.562378
25,0,-0.170902,-0.012855,0.031674,162.282516,-718.246460,1144.556152,0.282029,-0.075492,-0.159905,51.375980,-753.981445,1371.173584,-0.009787,0.148541,0.066401,271.780609,-758.926514,1380.347046,-0.428733,-1.146083,1.664269,317.734192,-572.708801,1691.016357
26,0,-0.170790,-0.012422,0.029261,162.013596,-718.325745,1144.431885,0.281831,-0.075059,-0.163996,51.210384,-753.643127,1371.029297,-0.010860,0.150790,0.063279,271.667816,-759.107666,1379.945190,-0.422270,-1.171495,1.684421,312.390259,-579.472351,1683.976685
27,0,-0.170683,-0.012353,0.026809,161.719559,-718.434082,1144.302124,0.280986,-0.072217,-0.170599,51.071655,-753.333435,1370.873047,-0.010445,0.149500,0.064006,271.519196,-759.353210,1379.509033,-0.420897,-1.192405,1.702609,306.866302,-586.295227,1676.313232
