Objects
100
,,Global Angle belly_mc:belly_mc,,,,,,Global Angle left_chest_mc:left_chest_mc,,,,,,Global Angle right_chest_mc:right_chest_mc,,,,,,Global Angle right_hand_mc:right_hand_mc,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm
1,0,0.027952,0.009078,0.152438,-123.620674,354.230469,1122.889282,-0.008767,-0.035150,0.184361,-220.550781,273.703461,1360.975342,1.562372,-0.752213,1.299550,-35.983852,310.162842,1384.410767,0.334026,-0.153602,1.799204,55.914139,407.452240,1480.650879
2,0,0.025476,0.009226,0.157945,-123.894501,354.399811,1122.799194,-0.009802,-0.033423,0.182879,-220.154755,274.118103,1361.109863,1.712982,-0.806500,1.472046,-34.640408,310.194031,1383.619995,0.325437,-0.119536,1.803262,54.282421,406.989899,1469.328247
3,0,0.023077,0.010333,0.162130,-124.139320,354.555511,1122.695679,-0.011034,-0.032063,0.182044,-219.738403,274.550568,1361.233398,1.729700,-0.831764,1.468087,-33.855202,310.986420,1383.304565,0.298901,-0.073678,1.812340,52.944862,407.576538,1457.678223
4,0,0.021983,0.011291,0.164948,-124.356483,354.700317,1122.592285,-0.011369,-0.030145,0.180792,-219.323334,274.979919,1361.387207,1.729757,-0.827836,1.457915,-33.185459,311.909576,1382.961914,0.277534,-0.026343,1.809978,51.772388,409.046509,1445.250610
5,0,0.022261,0.012232,0.167069,-124.532845,354.830719,1122.495239,-0.011725,-0.025986,0.179937,-218.858643,275.411163,1361.581787,1.733770,-0.834461,1.455742,-32.583687,311.908264,1382.676147,0.254048,0.019238,1.813449,50.615547,411.118103,1432.395996
6,0,0.021288,0.012736,0.168898,-124.641708,354.924927,1122.390625,-0.010282,-0.023687,0.181098,-218.351074,275.840088,1361.766602,1.699196,-0.823435,1.453199,-31.958780,312.355743,1382.267456,0.220511,0.058259,1.811393,49.824432,414.078735,1419.044922
7,0,0.023330,0.013447,0.172244,-124.715965,354.999542,1122.343018,-0.009772,-0.020953,0.180678,-217.846619,276.253784,1361.936401,0.026960,-0.012916,0.208550,-33.189270,311.711121,1383.549194,0.159750,0.097740,1.808563,48.743958,417.621918,1404.353027
8,0,0.021143,0.017676,0.170817,-124.762619,355.177155,1122.380493,-0.009445,-0.019306,0.178479,-217.379929,276.638031,1362.054199,-0.036593,0.007695,0.136690,-32.719330,311.542725,1383.667725,0.143831,0.167901,1.803199,48.558472,421.697632,1390.231812
9,0,0.022226,0.014519,0.170096,-124.719353,355.276367,1122.384766,-0.009144,-0.017213,0.176170,-216.998779,277.008850,1362.127441,-0.008125,-0.016739,0.169671,-32.564228,311.910278,1383.711548,0.108969,0.199998,1.774846,47.449192,426.098358,1375.295776
